Shipment_ID,Predicted_Delay_Days,Delay_Probability,Tier,Recommended_Action,Estimated_Cost_USD,Expected_Delay_After_Action_Days,Business_Impact_USD,Optimization_Status,Confidence_Score
SHP-116421,3.200000047683716,0.4260999858379364,LOW_COST_MITIGATION,Delay_Launch,0.0,3.200000047683716,0.0,Heuristic_Optimal,0.13
SHP-116060,0.800000011920929,0.024000000208616257,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.800000011920929,0.0,Not_Required,0.12
SHP-119055,2.5999999046325684,0.06669999659061432,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.5999999046325684,0.0,Not_Required,0.333
SHP-103941,2.9000000953674316,0.004100000020116568,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.9000000953674316,0.0,Not_Required,0.021
SHP-117880,1.0,0.002300000051036477,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.0,0.0,Not_Required,0.012
SHP-116675,3.200000047683716,0.45210000872612,LOW_COST_MITIGATION,Delay_Launch,0.0,3.200000047683716,0.0,Heuristic_Optimal,0.261
SHP-112630,2.700000047683716,0.02879999950528145,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.700000047683716,0.0,Not_Required,0.144
SHP-112157,0.699999988079071,0.006399999838322401,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.699999988079071,0.0,Not_Required,0.032
SHP-113835,0.30000001192092896,0.019500000402331352,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.30000001192092896,0.0,Not_Required,0.098
SHP-117407,6.599999904632568,0.03139999881386757,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.599999904632568,0.0,Not_Required,0.157
SHP-115440,6.400000095367432,0.11789999902248383,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.400000095367432,0.0,Not_Required,0.589
SHP-116487,2.0,0.032099999487400055,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.0,0.0,Not_Required,0.16
SHP-119730,3.9000000953674316,0.0737999975681305,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.9000000953674316,0.0,Not_Required,0.369
SHP-113137,6.900000095367432,0.5889000296592712,LOW_COST_MITIGATION,Expedite_Manufacturing,511.06,2.9,1101.35,Heuristic_Optimal,0.555
SHP-103669,1.399999976158142,0.06870000064373016,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.399999976158142,0.0,Not_Required,0.344
SHP-115983,0.800000011920929,0.06909999996423721,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.800000011920929,0.0,Not_Required,0.345
SHP-104058,5.599999904632568,0.030799999833106995,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.599999904632568,0.0,Not_Required,0.154
SHP-114976,7.300000190734863,0.2515999972820282,NO_ACTION_REQUIRED,No_Action_Required,0.0,7.300000190734863,0.0,Not_Required,0.742
SHP-115698,4.5,0.12809999287128448,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.5,0.0,Not_Required,0.64
SHP-113419,6.5,0.2989000082015991,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.5,0.0,Not_Required,0.505
SHP-117744,4.199999809265137,0.004100000020116568,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.199999809265137,0.0,Not_Required,0.021
SHP-111263,7.800000190734863,0.2093999981880188,NO_ACTION_REQUIRED,No_Action_Required,0.0,7.800000190734863,0.0,Not_Required,0.953
SHP-115782,6.5,0.03680000081658363,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.5,0.0,Not_Required,0.184
SHP-117196,5.199999809265137,0.5835999846458435,LOW_COST_MITIGATION,Delay_Launch,27.74,5.199999809265137,0.0,Heuristic_Optimal,0.582
SHP-110498,1.2999999523162842,0.0215000007301569,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.2999999523162842,0.0,Not_Required,0.108
SHP-117059,7.199999809265137,0.043299999088048935,NO_ACTION_REQUIRED,No_Action_Required,0.0,7.199999809265137,0.0,Not_Required,0.216
SHP-117928,6.199999809265137,0.3767000138759613,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.199999809265137,0.0,Not_Required,0.116
SHP-114753,2.299999952316284,0.06970000267028809,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.299999952316284,0.0,Not_Required,0.349
SHP-104519,6.099999904632568,0.042399998754262924,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.099999904632568,0.0,Not_Required,0.212
SHP-103024,6.099999904632568,0.040699999779462814,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.099999904632568,0.0,Not_Required,0.203
SHP-112121,3.4000000953674316,0.16920000314712524,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.4000000953674316,0.0,Not_Required,0.846
SHP-118494,0.20000000298023224,0.00039999998989515007,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.20000000298023224,0.0,Not_Required,0.002
SHP-105483,0.0,0.0006000000284984708,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.0,0.0,Not_Required,0.003
SHP-117617,0.800000011920929,0.003599999938160181,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.800000011920929,0.0,Not_Required,0.018
SHP-114568,9.399999618530273,0.19370000064373016,NO_ACTION_REQUIRED,No_Action_Required,0.0,9.399999618530273,0.0,Not_Required,0.969
SHP-100980,4.699999809265137,0.6783999800682068,LOW_COST_MITIGATION,Delay_Launch,0.0,4.699999809265137,0.0,Heuristic_Optimal,0.108
SHP-102783,2.200000047683716,0.040300000458955765,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.200000047683716,0.0,Not_Required,0.202
SHP-107713,7.699999809265137,0.1680999994277954,NO_ACTION_REQUIRED,No_Action_Required,0.0,7.699999809265137,0.0,Not_Required,0.84
SHP-111518,4.400000095367432,0.03620000183582306,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.400000095367432,0.0,Not_Required,0.181
SHP-111640,2.700000047683716,0.3919000029563904,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.700000047683716,0.0,Not_Required,0.04
SHP-118830,3.299999952316284,0.1152999997138977,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.299999952316284,0.0,Not_Required,0.576
SHP-106384,3.700000047683716,0.014800000004470348,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.700000047683716,0.0,Not_Required,0.074
SHP-104807,6.900000095367432,0.49900001287460327,LOW_COST_MITIGATION,Sea_Freight,3086.45,5.9,-3086.45,Heuristic_Optimal,0.495
SHP-106195,2.0999999046325684,0.007300000172108412,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.0999999046325684,0.0,Not_Required,0.037
SHP-110648,2.200000047683716,0.00139999995008111,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.200000047683716,0.0,Not_Required,0.007
SHP-101346,1.2999999523162842,0.0008999999845400453,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.2999999523162842,0.0,Not_Required,0.004
SHP-113124,5.199999809265137,0.25450000166893005,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.199999809265137,0.0,Not_Required,0.727
SHP-112673,4.099999904632568,0.1860000044107437,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.099999904632568,0.0,Not_Required,0.93
SHP-102119,5.599999904632568,0.10719999670982361,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.599999904632568,0.0,Not_Required,0.536
SHP-115304,0.5,0.0008999999845400453,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.5,0.0,Not_Required,0.004
SHP-111013,1.899999976158142,0.015599999576807022,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.899999976158142,0.0,Not_Required,0.078
SHP-104770,4.0,0.1657000035047531,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.0,0.0,Not_Required,0.829
SHP-102712,2.5999999046325684,0.005200000014156103,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.5999999046325684,0.0,Not_Required,0.026
SHP-110947,1.2999999523162842,0.09189999848604202,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.2999999523162842,0.0,Not_Required,0.459
SHP-102545,5.699999809265137,0.03420000150799751,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.699999809265137,0.0,Not_Required,0.171
SHP-112619,2.5999999046325684,0.023499999195337296,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.5999999046325684,0.0,Not_Required,0.117
SHP-104410,10.199999809265137,0.2793000042438507,NO_ACTION_REQUIRED,No_Action_Required,0.0,10.199999809265137,0.0,Not_Required,0.603
SHP-119647,2.0,0.0017999999690800905,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.0,0.0,Not_Required,0.009
SHP-112407,12.199999809265137,0.6567000150680542,LOW_COST_MITIGATION,Air_Freight,6413.48,1.5,-4225.2,Heuristic_Optimal,0.216
SHP-103570,2.0999999046325684,0.6083999872207642,LOW_COST_MITIGATION,Delay_Launch,0.0,2.0999999046325684,0.0,Heuristic_Optimal,0.458
SHP-104991,0.800000011920929,0.015200000256299973,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.800000011920929,0.0,Not_Required,0.076
SHP-109325,1.399999976158142,0.01080000028014183,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.399999976158142,0.0,Not_Required,0.054
SHP-102300,5.199999809265137,0.5891000032424927,LOW_COST_MITIGATION,Delay_Launch,0.0,5.199999809265137,0.0,Heuristic_Optimal,0.554
SHP-105804,5.0,0.18060000240802765,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.0,0.0,Not_Required,0.903
SHP-112022,6.0,0.007600000128149986,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.0,0.0,Not_Required,0.038
SHP-109757,3.5,0.10209999978542328,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.5,0.0,Not_Required,0.51
SHP-112014,0.30000001192092896,0.0013000000035390258,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.30000001192092896,0.0,Not_Required,0.007
SHP-111548,4.199999809265137,0.022700000554323196,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.199999809265137,0.0,Not_Required,0.114
SHP-103975,8.399999618530273,0.3370000123977661,NO_ACTION_REQUIRED,No_Action_Required,0.0,8.399999618530273,0.0,Not_Required,0.315
SHP-116090,7.0,0.013399999588727951,NO_ACTION_REQUIRED,No_Action_Required,0.0,7.0,0.0,Not_Required,0.067
SHP-117232,2.799999952316284,0.24690000712871552,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.799999952316284,0.0,Not_Required,0.765
SHP-115645,1.600000023841858,0.09319999814033508,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.600000023841858,0.0,Not_Required,0.466
SHP-103298,2.0999999046325684,0.0031999999191612005,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.0999999046325684,0.0,Not_Required,0.016
SHP-117410,1.7000000476837158,0.10260000079870224,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.7000000476837158,0.0,Not_Required,0.513
SHP-115155,2.5,0.4163999855518341,LOW_COST_MITIGATION,Delay_Launch,0.0,2.5,0.0,Heuristic_Optimal,0.082
SHP-117276,3.4000000953674316,0.18559999763965607,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.4000000953674316,0.0,Not_Required,0.928
SHP-106703,1.899999976158142,0.396699994802475,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.899999976158142,0.0,Not_Required,0.017
SHP-101968,5.699999809265137,0.05270000174641609,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.699999809265137,0.0,Not_Required,0.264
SHP-102112,3.0999999046325684,0.006000000052154064,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.0999999046325684,0.0,Not_Required,0.03
SHP-112989,3.799999952316284,0.007199999876320362,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.799999952316284,0.0,Not_Required,0.036
SHP-107277,4.699999809265137,0.42250001430511475,LOW_COST_MITIGATION,Delay_Launch,0.0,4.699999809265137,0.0,Heuristic_Optimal,0.113
SHP-106418,0.4000000059604645,0.006399999838322401,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.4000000059604645,0.0,Not_Required,0.032
SHP-110431,7.400000095367432,0.6036999821662903,LOW_COST_MITIGATION,Expedite_Manufacturing,147.95,3.4,-147.95,Heuristic_Optimal,0.482
SHP-104629,4.900000095367432,0.06729999929666519,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.900000095367432,0.0,Not_Required,0.336
SHP-108862,0.0,0.14229999482631683,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.0,0.0,Not_Required,0.711
SHP-104667,2.200000047683716,0.00419999985024333,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.200000047683716,0.0,Not_Required,0.021
SHP-114163,1.600000023841858,0.2468000054359436,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.600000023841858,0.0,Not_Required,0.766
SHP-102195,3.700000047683716,0.27970001101493835,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.700000047683716,0.0,Not_Required,0.601
SHP-114990,2.9000000953674316,0.22130000591278076,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.9000000953674316,0.0,Not_Required,0.893
SHP-101077,1.5,0.004999999888241291,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.5,0.0,Not_Required,0.025
SHP-105933,0.0,0.00139999995008111,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.0,0.0,Not_Required,0.007
SHP-119717,3.200000047683716,0.2842000126838684,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.200000047683716,0.0,Not_Required,0.579
SHP-113363,2.299999952316284,0.10159999877214432,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.299999952316284,0.0,Not_Required,0.508
SHP-117020,2.799999952316284,0.11630000174045563,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.799999952316284,0.0,Not_Required,0.582
SHP-109543,1.0,0.010099999606609344,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.0,0.0,Not_Required,0.05
SHP-119094,4.800000190734863,0.039000000804662704,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.800000190734863,0.0,Not_Required,0.195
SHP-113355,4.099999904632568,0.09470000118017197,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.099999904632568,0.0,Not_Required,0.474
SHP-118631,2.9000000953674316,0.3059000074863434,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.9000000953674316,0.0,Not_Required,0.47
SHP-107722,1.2999999523162842,0.4577000141143799,LOW_COST_MITIGATION,Delay_Launch,0.0,1.2999999523162842,0.0,Heuristic_Optimal,0.289
SHP-100812,1.2000000476837158,0.033399999141693115,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.2000000476837158,0.0,Not_Required,0.167
SHP-111193,3.0,0.14869999885559082,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.0,0.0,Not_Required,0.743
SHP-108510,10.899999618530273,0.5659000277519226,LOW_COST_MITIGATION,Rail_Freight,948.46,6.0,-374.21,Heuristic_Optimal,0.67
SHP-101692,2.5,0.007699999958276749,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.5,0.0,Not_Required,0.038
SHP-102221,5.699999809265137,0.007600000128149986,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.699999809265137,0.0,Not_Required,0.038
SHP-104693,2.299999952316284,0.16449999809265137,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.299999952316284,0.0,Not_Required,0.822
SHP-105107,7.699999809265137,0.07769999653100967,NO_ACTION_REQUIRED,No_Action_Required,0.0,7.699999809265137,0.0,Not_Required,0.388
SHP-113480,5.300000190734863,0.05090000107884407,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.300000190734863,0.0,Not_Required,0.255
SHP-101604,1.2000000476837158,0.00139999995008111,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.2000000476837158,0.0,Not_Required,0.007
SHP-106311,0.699999988079071,0.013399999588727951,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.699999988079071,0.0,Not_Required,0.067
SHP-100351,4.099999904632568,0.017000000923871994,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.099999904632568,0.0,Not_Required,0.085
SHP-101530,5.099999904632568,0.01979999989271164,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.099999904632568,0.0,Not_Required,0.099
SHP-113591,1.100000023841858,0.012900000438094139,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.100000023841858,0.0,Not_Required,0.065
SHP-115215,6.0,0.050999999046325684,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.0,0.0,Not_Required,0.255
SHP-100218,0.0,0.010999999940395355,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.0,0.0,Not_Required,0.055
SHP-106813,2.5999999046325684,0.428600013256073,LOW_COST_MITIGATION,Delay_Launch,0.0,2.5999999046325684,0.0,Heuristic_Optimal,0.143
SHP-105357,4.800000190734863,0.020999999716877937,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.800000190734863,0.0,Not_Required,0.105
SHP-114932,2.799999952316284,0.24230000376701355,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.799999952316284,0.0,Not_Required,0.788
SHP-104740,10.699999809265137,0.3758000135421753,NO_ACTION_REQUIRED,No_Action_Required,0.0,10.699999809265137,0.0,Not_Required,0.121
SHP-107886,5.199999809265137,0.025499999523162842,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.199999809265137,0.0,Not_Required,0.127
SHP-110035,0.0,0.004000000189989805,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.0,0.0,Not_Required,0.02
SHP-103189,2.5999999046325684,0.007300000172108412,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.5999999046325684,0.0,Not_Required,0.037
SHP-102325,1.5,0.37380000948905945,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.5,0.0,Not_Required,0.131
SHP-110645,0.30000001192092896,0.0010999999940395355,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.30000001192092896,0.0,Not_Required,0.005
SHP-119523,10.800000190734863,0.32019999623298645,NO_ACTION_REQUIRED,No_Action_Required,0.0,10.800000190734863,0.0,Not_Required,0.399
SHP-105743,2.9000000953674316,0.15960000455379486,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.9000000953674316,0.0,Not_Required,0.798
SHP-114583,1.399999976158142,0.018400000408291817,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.399999976158142,0.0,Not_Required,0.092
SHP-119257,2.5999999046325684,0.0364999994635582,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.5999999046325684,0.0,Not_Required,0.182
SHP-111881,1.100000023841858,0.045099999755620956,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.100000023841858,0.0,Not_Required,0.225
SHP-101027,11.300000190734863,0.28450000286102295,NO_ACTION_REQUIRED,No_Action_Required,0.0,11.300000190734863,0.0,Not_Required,0.577
SHP-104069,9.699999809265137,0.13539999723434448,NO_ACTION_REQUIRED,No_Action_Required,0.0,9.699999809265137,0.0,Not_Required,0.677
SHP-118572,9.399999618530273,0.29170000553131104,NO_ACTION_REQUIRED,No_Action_Required,0.0,9.399999618530273,0.0,Not_Required,0.541
SHP-115783,2.5999999046325684,0.009399999864399433,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.5999999046325684,0.0,Not_Required,0.047
SHP-117648,4.800000190734863,0.01679999940097332,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.800000190734863,0.0,Not_Required,0.084
SHP-110385,9.300000190734863,0.061900001019239426,NO_ACTION_REQUIRED,No_Action_Required,0.0,9.300000190734863,0.0,Not_Required,0.31
SHP-113670,0.699999988079071,0.0357000008225441,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.699999988079071,0.0,Not_Required,0.179
SHP-101962,3.700000047683716,0.07039999961853027,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.700000047683716,0.0,Not_Required,0.352
SHP-119874,3.200000047683716,0.6126000285148621,LOW_COST_MITIGATION,Delay_Launch,0.0,3.200000047683716,0.0,Heuristic_Optimal,0.437
SHP-101599,4.0,0.04039999842643738,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.0,0.0,Not_Required,0.202
SHP-109675,0.0,0.07959999889135361,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.0,0.0,Not_Required,0.398
SHP-110952,9.0,0.08429999649524689,NO_ACTION_REQUIRED,No_Action_Required,0.0,9.0,0.0,Not_Required,0.421
SHP-104333,2.9000000953674316,0.004699999932199717,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.9000000953674316,0.0,Not_Required,0.023
SHP-106955,5.5,0.02759999968111515,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.5,0.0,Not_Required,0.138
SHP-118821,4.699999809265137,0.2840999960899353,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.699999809265137,0.0,Not_Required,0.58
SHP-115974,1.899999976158142,0.0210999995470047,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.899999976158142,0.0,Not_Required,0.105
SHP-113722,3.4000000953674316,0.5299000144004822,LOW_COST_MITIGATION,Delay_Launch,0.0,3.4000000953674316,0.0,Heuristic_Optimal,0.65
SHP-115630,4.099999904632568,0.09309999644756317,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.099999904632568,0.0,Not_Required,0.465
SHP-113589,2.5,0.020999999716877937,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.5,0.0,Not_Required,0.105
SHP-114521,3.200000047683716,0.005100000184029341,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.200000047683716,0.0,Not_Required,0.026
SHP-109770,6.699999809265137,0.013799999840557575,NO_ACTION_REQUIRED,No_Action_Required,0.0,6.699999809265137,0.0,Not_Required,0.069
SHP-113377,1.399999976158142,0.052000001072883606,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.399999976158142,0.0,Not_Required,0.26
SHP-101034,10.800000190734863,0.3050000071525574,NO_ACTION_REQUIRED,No_Action_Required,0.0,10.800000190734863,0.0,Not_Required,0.475
SHP-116592,4.199999809265137,0.011699999682605267,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.199999809265137,0.0,Not_Required,0.058
SHP-110979,0.699999988079071,0.00989999994635582,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.699999988079071,0.0,Not_Required,0.049
SHP-102127,1.2999999523162842,0.003000000026077032,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.2999999523162842,0.0,Not_Required,0.015
SHP-112187,1.100000023841858,0.002199999988079071,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.100000023841858,0.0,Not_Required,0.011
SHP-105970,5.699999809265137,0.15160000324249268,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.699999809265137,0.0,Not_Required,0.758
SHP-100993,4.699999809265137,0.03970000147819519,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.699999809265137,0.0,Not_Required,0.199
SHP-115084,2.299999952316284,0.005799999926239252,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.299999952316284,0.0,Not_Required,0.029
SHP-114845,5.199999809265137,0.030400000512599945,NO_ACTION_REQUIRED,No_Action_Required,0.0,5.199999809265137,0.0,Not_Required,0.152
SHP-114945,11.0,0.34779998660087585,NO_ACTION_REQUIRED,No_Action_Required,0.0,11.0,0.0,Not_Required,0.261
SHP-100447,0.6000000238418579,0.028999999165534973,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.6000000238418579,0.0,Not_Required,0.145
SHP-117277,12.600000381469727,0.6431999802589417,LOW_COST_MITIGATION,Secondary_Supplier,1467.87,0.0,-170.69,Heuristic_Optimal,0.284
SHP-105453,7.099999904632568,0.05990000069141388,NO_ACTION_REQUIRED,No_Action_Required,0.0,7.099999904632568,0.0,Not_Required,0.3
SHP-103211,4.199999809265137,0.16120000183582306,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.199999809265137,0.0,Not_Required,0.806
SHP-105561,3.0,0.003800000064074993,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.0,0.0,Not_Required,0.019
SHP-118911,12.300000190734863,0.20659999549388885,NO_ACTION_REQUIRED,No_Action_Required,0.0,12.300000190734863,0.0,Not_Required,0.967
SHP-103210,0.5,0.0012000000569969416,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.5,0.0,Not_Required,0.006
SHP-113813,1.2000000476837158,0.006200000178068876,NO_ACTION_REQUIRED,No_Action_Required,0.0,1.2000000476837158,0.0,Not_Required,0.031
SHP-110649,3.799999952316284,0.01899999938905239,NO_ACTION_REQUIRED,No_Action_Required,0.0,3.799999952316284,0.0,Not_Required,0.095
SHP-119544,12.600000381469727,0.28540000319480896,NO_ACTION_REQUIRED,No_Action_Required,0.0,12.600000381469727,0.0,Not_Required,0.573
SHP-111366,4.400000095367432,0.011599999852478504,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.400000095367432,0.0,Not_Required,0.058
SHP-113079,4.099999904632568,0.6209999918937683,LOW_COST_MITIGATION,Delay_Launch,0.0,4.099999904632568,0.0,Heuristic_Optimal,0.395
SHP-117147,0.699999988079071,0.0015999999595806003,NO_ACTION_REQUIRED,No_Action_Required,0.0,0.699999988079071,0.0,Not_Required,0.008
SHP-119145,2.4000000953674316,0.1500999927520752,NO_ACTION_REQUIRED,No_Action_Required,0.0,2.4000000953674316,0.0,Not_Required,0.75
SHP-119183,4.099999904632568,0.017000000923871994,NO_ACTION_REQUIRED,No_Action_Required,0.0,4.099999904632568,0.0,Not_Required,0.085
