Supplier_ID,Product_Category,Max_Monthly_Capacity_Units,Current_Utilization_Units,Available_Capacity_Units
91014,Automotive_Parts,5224,4016,1208
91014,Electronics,4985,2066,2919
1016,Industrial_Equipment,14397,9210,5187
1016,Automotive_Parts,2446,1872,574
1016,Furniture,8981,6460,2521
91016,Pharmaceuticals,6139,2926,3213
91016,Electronics,12051,10091,1960
91016,Consumer_Goods,13570,6937,6633
1019,Food_Beverage,17490,8777,8713
1019,Furniture,7991,6759,1232
1019,Apparel,11057,4483,6574
91019,Automotive_Parts,16534,9257,7277
91019,Consumer_Goods,14016,6665,7351
91019,Pharmaceuticals,9386,6883,2503
1023,Food_Beverage,9082,7282,1800
1023,Automotive_Parts,18178,9715,8463
1023,Industrial_Equipment,2048,1330,718
91023,Consumer_Goods,10280,4951,5329
91023,Automotive_Parts,3027,2173,854
91023,Electronics,11533,7598,3935
1026,Industrial_Equipment,5149,3831,1318
1026,Electronics,17496,13161,4335
1026,Automotive_Parts,8490,4184,4306
91026,Consumer_Goods,2592,1299,1293
91026,Food_Beverage,2631,2043,588
91026,Apparel,15032,6559,8473
1028,Pharmaceuticals,17654,12610,5044
1028,Food_Beverage,11461,7292,4169
1028,Furniture,14134,9805,4329
91028,Furniture,7683,3323,4360
91028,Food_Beverage,12643,7590,5053
91028,Consumer_Goods,19006,13378,5628
1030,Industrial_Equipment,4912,3732,1180
1030,Electronics,5938,2505,3433
1030,Food_Beverage,17973,13288,4685
91030,Pharmaceuticals,11252,5815,5437
91030,Industrial_Equipment,11498,5204,6294
91030,Automotive_Parts,4433,1979,2454
1033,Apparel,5899,4196,1703
1033,Electronics,6297,4046,2251
1033,Consumer_Goods,14363,11788,2575
91033,Automotive_Parts,3352,2456,896
91033,Food_Beverage,6030,4709,1321
91033,Consumer_Goods,19792,13079,6713
1035,Pharmaceuticals,14230,10625,3605
1035,Food_Beverage,8064,5012,3052
1035,Consumer_Goods,19968,8538,11430
91035,Consumer_Goods,6405,3509,2896
91035,Furniture,12286,5930,6356
91035,Automotive_Parts,15158,7193,7965
1036,Food_Beverage,14483,6053,8430
1036,Electronics,9994,6510,3484
1036,Apparel,2509,1322,1187
91036,Automotive_Parts,18619,9859,8760
91036,Consumer_Goods,14148,6003,8145
91036,Food_Beverage,14224,11807,2417
1037,Food_Beverage,10373,5176,5197
1037,Industrial_Equipment,16951,12397,4554
1037,Furniture,16625,8310,8315
91037,Consumer_Goods,16875,11942,4933
91037,Industrial_Equipment,8357,5786,2571
91037,Pharmaceuticals,13577,7083,6494
1038,Automotive_Parts,16164,9615,6549
1038,Consumer_Goods,11790,6017,5773
1038,Pharmaceuticals,9888,4887,5001
91038,Furniture,3155,2351,804
91038,Consumer_Goods,14941,8532,6409
91038,Automotive_Parts,8776,5213,3563
1041,Pharmaceuticals,15644,12871,2773
1041,Industrial_Equipment,10343,6146,4197
1041,Apparel,13895,10233,3662
91041,Electronics,11455,6219,5236
91041,Furniture,11423,6701,4722
91041,Pharmaceuticals,3876,1766,2110
1042,Furniture,18752,7806,10946
1042,Industrial_Equipment,15502,9393,6109
1042,Automotive_Parts,13186,5394,7792
91042,Furniture,5902,3090,2812
91042,Apparel,4594,2931,1663
91042,Automotive_Parts,9223,3693,5530
1048,Apparel,11894,6518,5376
1048,Furniture,10451,5223,5228
1048,Electronics,11871,4877,6994
91048,Pharmaceuticals,4283,1995,2288
91048,Food_Beverage,17905,12138,5767
91048,Automotive_Parts,19662,13264,6398
1049,Food_Beverage,19541,9610,9931
1049,Industrial_Equipment,17632,10385,7247
1049,Pharmaceuticals,13215,7569,5646
91049,Food_Beverage,19947,11381,8566
91049,Furniture,14003,11700,2303
91049,Automotive_Parts,13677,5825,7852
1050,Automotive_Parts,14679,6857,7822
1050,Pharmaceuticals,11301,7945,3356
1050,Food_Beverage,11600,7021,4579
91050,Food_Beverage,17379,7221,10158
91050,Furniture,7001,5948,1053
91050,Apparel,14759,5953,8806
1053,Industrial_Equipment,3079,2048,1031
1053,Apparel,6596,4384,2212
1053,Electronics,14312,8076,6236
91053,Automotive_Parts,5737,3748,1989
91053,Furniture,14925,10448,4477
91053,Consumer_Goods,17874,10944,6930
1054,Industrial_Equipment,6403,2593,3810
1054,Automotive_Parts,4802,2401,2401
1054,Consumer_Goods,19759,15149,4610
91054,Furniture,9528,5202,4326
91054,Apparel,11695,9718,1977
91054,Industrial_Equipment,16370,12995,3375
1055,Apparel,4663,3781,882
1055,Industrial_Equipment,16320,8998,7322
1055,Electronics,11321,5328,5993
91055,Automotive_Parts,18452,14000,4452
91055,Electronics,13806,6148,7658
91055,Pharmaceuticals,19456,12967,6489
1056,Furniture,7768,4098,3670
1056,Electronics,4860,2344,2516
1056,Apparel,12329,7534,4795
91056,Consumer_Goods,18750,11767,6983
91056,Automotive_Parts,9208,6392,2816
91056,Apparel,16751,12052,4699
1057,Industrial_Equipment,13044,6850,6194
1057,Apparel,15388,10353,5035
1057,Consumer_Goods,3791,1629,2162
91057,Pharmaceuticals,11879,5608,6271
91057,Apparel,5704,4311,1393
91057,Consumer_Goods,12987,9997,2990
1060,Electronics,12134,7435,4699
1060,Furniture,16843,8329,8514
1060,Automotive_Parts,13792,11594,2198
91060,Consumer_Goods,12693,6475,6218
91060,Electronics,7053,3089,3964
91060,Furniture,15422,11543,3879
1061,Consumer_Goods,3431,2531,900
1061,Furniture,6645,5317,1328
1061,Pharmaceuticals,7272,5402,1870
91061,Furniture,14761,12202,2559
91061,Consumer_Goods,6477,3541,2936
91061,Automotive_Parts,3648,1844,1804
1063,Automotive_Parts,10536,6920,3616
1063,Food_Beverage,5150,2387,2763
1063,Furniture,7654,3980,3674
91063,Industrial_Equipment,8803,6650,2153
91063,Electronics,8803,4526,4277
91063,Food_Beverage,3160,1591,1569
1064,Electronics,13120,5277,7843
1064,Food_Beverage,7429,5096,2333
1064,Apparel,5317,3035,2282
91064,Food_Beverage,10052,7411,2641
91064,Apparel,5791,3517,2274
91064,Industrial_Equipment,19557,13477,6080
1065,Food_Beverage,17958,7971,9987
1065,Furniture,16849,12675,4174
1065,Consumer_Goods,13672,9250,4422
91065,Furniture,4729,2350,2379
91065,Industrial_Equipment,11078,7411,3667
91065,Pharmaceuticals,6858,4106,2752
1067,Apparel,8730,5244,3486
1067,Electronics,18450,8890,9560
1067,Furniture,9374,6835,2539
91067,Automotive_Parts,19352,14844,4508
91067,Pharmaceuticals,11705,9259,2446
91067,Electronics,15024,12140,2884
1068,Electronics,12958,6741,6217
1068,Pharmaceuticals,6297,2841,3456
1068,Automotive_Parts,5995,4176,1819
91068,Apparel,7692,3787,3905
91068,Industrial_Equipment,10361,6693,3668
91068,Food_Beverage,10165,8270,1895
1069,Food_Beverage,17304,14432,2872
1069,Automotive_Parts,4325,1822,2503
1069,Apparel,10378,4541,5837
91069,Automotive_Parts,5058,4192,866
91069,Consumer_Goods,5985,4977,1008
91069,Apparel,5517,4095,1422
1070,Apparel,7966,5503,2463
1070,Consumer_Goods,9901,8138,1763
1070,Electronics,5360,2871,2489
91070,Consumer_Goods,13816,8332,5484
91070,Apparel,10554,4979,5575
91070,Pharmaceuticals,13384,9408,3976
1071,Furniture,4919,2703,2216
1071,Apparel,16444,9938,6506
1071,Consumer_Goods,7962,3867,4095
91071,Automotive_Parts,4319,3066,1253
91071,Consumer_Goods,15194,8995,6199
91071,Apparel,18991,15297,3694
1072,Electronics,14984,11125,3859
1072,Industrial_Equipment,12281,5226,7055
1072,Pharmaceuticals,17175,12874,4301
91072,Furniture,5114,4337,777
91072,Automotive_Parts,3268,2523,745
91072,Electronics,3145,2163,982
1074,Industrial_Equipment,17451,8423,9028
1074,Electronics,8060,5394,2666
1074,Furniture,2014,1126,888
91074,Electronics,7971,3440,4531
91074,Pharmaceuticals,17342,14085,3257
91074,Consumer_Goods,3024,1634,1390
1077,Consumer_Goods,4566,3295,1271
1077,Food_Beverage,3398,2415,983
1077,Electronics,12814,5680,7134
91077,Consumer_Goods,12874,10865,2009
91077,Apparel,13853,9971,3882
91077,Electronics,14095,11882,2213
1078,Consumer_Goods,17606,9931,7675
1078,Furniture,14560,9147,5413
1078,Automotive_Parts,2078,1707,371
91078,Consumer_Goods,5127,2183,2944
91078,Food_Beverage,19835,14423,5412
91078,Apparel,3449,2720,729
1079,Apparel,5510,2270,3240
1079,Consumer_Goods,6411,4583,1828
1079,Electronics,11961,8271,3690
91079,Consumer_Goods,3693,1733,1960
91079,Furniture,12238,9088,3150
91079,Automotive_Parts,18772,15303,3469
1080,Consumer_Goods,18708,10991,7717
1080,Industrial_Equipment,3541,1516,2025
1080,Food_Beverage,2065,927,1138
91080,Furniture,14622,11051,3571
91080,Industrial_Equipment,19554,9110,10444
91080,Electronics,12623,9297,3326
1081,Consumer_Goods,7050,3868,3182
1081,Automotive_Parts,17043,13043,4000
1081,Apparel,6936,5146,1790
91081,Furniture,16541,11656,4885
91081,Consumer_Goods,10385,7182,3203
91081,Apparel,5507,3401,2106
1082,Pharmaceuticals,11329,5041,6288
1082,Furniture,11257,5174,6083
1082,Apparel,4956,4110,846
91082,Apparel,7797,6270,1527
91082,Furniture,19031,15484,3547
91082,Food_Beverage,12133,6490,5643
1083,Furniture,8219,6253,1966
1083,Electronics,13023,7978,5045
1083,Food_Beverage,17829,14924,2905
91083,Furniture,10801,4501,6300
91083,Food_Beverage,6966,3104,3862
91083,Pharmaceuticals,16472,8877,7595
1084,Pharmaceuticals,3427,2444,983
1084,Furniture,7363,4525,2838
1084,Apparel,3291,1817,1474
91084,Pharmaceuticals,15741,13036,2705
91084,Apparel,7850,6530,1320
91084,Electronics,4523,3019,1504
1085,Apparel,14674,11283,3391
1085,Consumer_Goods,5232,3348,1884
1085,Industrial_Equipment,10702,5840,4862
91085,Furniture,2604,1364,1240
91085,Industrial_Equipment,3845,1868,1977
91085,Electronics,3696,2540,1156
1087,Apparel,3623,2155,1468
1087,Electronics,10335,7484,2851
1087,Consumer_Goods,8349,5515,2834
91087,Apparel,19393,14357,5036
91087,Pharmaceuticals,19220,11832,7388
91087,Food_Beverage,10945,4508,6437
1090,Food_Beverage,6606,5613,993
1090,Pharmaceuticals,3528,1486,2042
1090,Electronics,14936,6390,8546
91090,Pharmaceuticals,3288,2696,592
91090,Apparel,16506,10658,5848
91090,Electronics,18864,12780,6084
1091,Food_Beverage,15274,6809,8465
1091,Pharmaceuticals,3744,2021,1723
1091,Automotive_Parts,3540,1435,2105
91091,Pharmaceuticals,16424,11035,5389
91091,Industrial_Equipment,5605,3267,2338
91091,Food_Beverage,17243,13483,3760
1095,Pharmaceuticals,18994,9947,9047
1095,Consumer_Goods,14478,7372,7106
1095,Industrial_Equipment,2471,1396,1075
91095,Apparel,17896,9512,8384
91095,Furniture,18248,10092,8156
91095,Automotive_Parts,11373,8754,2619
1098,Furniture,11053,7763,3290
1098,Apparel,16915,11254,5661
1098,Automotive_Parts,16319,12210,4109
91098,Furniture,4089,1706,2383
91098,Automotive_Parts,2421,1508,913
91098,Apparel,7920,4437,3483
1101,Pharmaceuticals,14202,9943,4259
1101,Furniture,17514,9734,7780
1101,Food_Beverage,7725,5124,2601
91101,Apparel,7945,5659,2286
91101,Consumer_Goods,7925,3651,4274
91101,Industrial_Equipment,13653,8170,5483
1105,Consumer_Goods,17392,8233,9159
1105,Food_Beverage,8548,5051,3497
1105,Electronics,11130,4502,6628
91105,Consumer_Goods,19176,10144,9032
91105,Pharmaceuticals,4496,3664,832
91105,Food_Beverage,17592,11444,6148
1107,Pharmaceuticals,11881,9802,2079
1107,Apparel,11405,5940,5465
1107,Consumer_Goods,9906,4578,5328
91107,Automotive_Parts,2510,1840,670
91107,Consumer_Goods,17537,7604,9933
91107,Apparel,18684,8399,10285
1108,Electronics,3238,2511,727
1108,Pharmaceuticals,9925,8021,1904
1108,Consumer_Goods,11421,9080,2341
91108,Pharmaceuticals,6530,4098,2432
91108,Consumer_Goods,15020,10461,4559
91108,Industrial_Equipment,3814,1755,2059
1109,Food_Beverage,7391,3728,3663
1109,Consumer_Goods,9830,7412,2418
1109,Pharmaceuticals,13160,5603,7557
91109,Industrial_Equipment,8160,5683,2477
91109,Electronics,3975,1865,2110
91109,Automotive_Parts,9247,5898,3349
1110,Consumer_Goods,18637,14345,4292
1110,Electronics,15090,9822,5268
1110,Food_Beverage,12125,10222,1903
91110,Apparel,12114,6637,5477
91110,Industrial_Equipment,9979,4023,5956
91110,Automotive_Parts,7802,5214,2588
1112,Food_Beverage,2727,1537,1190
1112,Furniture,3832,2113,1719
1112,Apparel,17821,12574,5247
91112,Automotive_Parts,16789,11942,4847
91112,Industrial_Equipment,16629,6659,9970
91112,Consumer_Goods,12066,5016,7050
1116,Food_Beverage,18876,15214,3662
1116,Electronics,2554,1931,623
1116,Industrial_Equipment,2367,1427,940
91116,Industrial_Equipment,7187,5304,1883
91116,Furniture,3655,2481,1174
91116,Automotive_Parts,16274,8715,7559
1117,Automotive_Parts,9905,5954,3951
1117,Food_Beverage,16283,9513,6770
1117,Furniture,11941,7746,4195
91117,Pharmaceuticals,18362,15046,3316
91117,Consumer_Goods,7293,4368,2925
91117,Food_Beverage,12157,8720,3437
1121,Electronics,14599,10764,3835
1121,Furniture,5936,4367,1569
1121,Industrial_Equipment,14175,7000,7175
91121,Pharmaceuticals,2044,1604,440
91121,Automotive_Parts,11528,5281,6247
91121,Food_Beverage,12980,9960,3020
1122,Industrial_Equipment,9056,7103,1953
1122,Apparel,18208,11957,6251
1122,Furniture,9452,3783,5669
91122,Consumer_Goods,12207,7610,4597
91122,Pharmaceuticals,9728,6873,2855
91122,Furniture,16578,8705,7873
1126,Food_Beverage,19782,16558,3224
1126,Pharmaceuticals,10023,7416,2607
1126,Consumer_Goods,18540,12500,6040
91126,Industrial_Equipment,15776,10008,5768
91126,Electronics,12977,5831,7146
91126,Apparel,17628,10073,7555
1128,Consumer_Goods,3954,1854,2100
1128,Furniture,8810,5444,3366
1128,Pharmaceuticals,17077,7205,9872
91128,Furniture,4958,3556,1402
91128,Industrial_Equipment,7367,3703,3664
91128,Electronics,16315,10873,5442
1131,Apparel,17998,11605,6393
1131,Furniture,11728,5879,5849
1131,Consumer_Goods,17945,9843,8102
91131,Pharmaceuticals,19957,9010,10947
91131,Furniture,6397,5045,1352
91131,Food_Beverage,17335,11249,6086
1135,Furniture,7264,5517,1747
1135,Apparel,18906,15439,3467
1135,Automotive_Parts,10969,7461,3508
91135,Automotive_Parts,11070,8933,2137
91135,Pharmaceuticals,17989,15074,2915
91135,Consumer_Goods,5320,4072,1248
1136,Consumer_Goods,17069,9183,7886
1136,Electronics,5238,2426,2812
1136,Food_Beverage,15715,8457,7258
91136,Automotive_Parts,8966,6895,2071
91136,Pharmaceuticals,9600,7059,2541
91136,Industrial_Equipment,6620,2867,3753
1138,Electronics,9230,6692,2538
1138,Industrial_Equipment,9179,6978,2201
1138,Furniture,18472,10634,7838
91138,Pharmaceuticals,7266,5534,1732
91138,Electronics,3090,2356,734
91138,Industrial_Equipment,7905,3470,4435
1139,Apparel,17650,14072,3578
1139,Electronics,7598,4537,3061
1139,Pharmaceuticals,19123,10117,9006
91139,Apparel,5960,4893,1067
91139,Furniture,15901,7385,8516
91139,Electronics,2072,1058,1014
1140,Apparel,13808,7558,6250
1140,Automotive_Parts,11316,9059,2257
1140,Pharmaceuticals,13070,8771,4299
91140,Furniture,4875,2653,2222
91140,Pharmaceuticals,7119,4839,2280
91140,Consumer_Goods,19357,10160,9197
1142,Pharmaceuticals,14031,9152,4879
1142,Consumer_Goods,15961,11214,4747
1142,Apparel,17932,12359,5573
91142,Furniture,19372,12969,6403
91142,Apparel,15926,10591,5335
91142,Electronics,9482,4056,5426
1143,Industrial_Equipment,16481,10555,5926
1143,Electronics,13614,5630,7984
1143,Pharmaceuticals,6978,5352,1626
91143,Furniture,15605,8700,6905
91143,Apparel,6262,3201,3061
91143,Pharmaceuticals,9008,7085,1923
1145,Furniture,7566,3718,3848
1145,Automotive_Parts,15716,6872,8844
1145,Consumer_Goods,7717,3637,4080
91145,Industrial_Equipment,3031,1502,1529
91145,Automotive_Parts,18455,14773,3682
91145,Furniture,18350,12950,5400
1146,Furniture,5801,2656,3145
1146,Automotive_Parts,19454,12822,6632
1146,Apparel,8839,4967,3872
91146,Consumer_Goods,8225,6216,2009
91146,Furniture,16114,8780,7334
91146,Industrial_Equipment,17809,11703,6106
1148,Food_Beverage,15281,7288,7993
1148,Furniture,19831,12278,7553
1148,Apparel,9662,4666,4996
91148,Furniture,19141,12954,6187
91148,Consumer_Goods,8306,3467,4839
91148,Electronics,8865,5940,2925
1151,Food_Beverage,15535,9175,6360
1151,Pharmaceuticals,7102,2992,4110
1151,Electronics,7389,3037,4352
91151,Pharmaceuticals,6393,4208,2185
91151,Electronics,19766,8447,11319
91151,Industrial_Equipment,14317,6713,7604
1152,Pharmaceuticals,9902,7232,2670
1152,Automotive_Parts,14892,11038,3854
1152,Apparel,17616,14912,2704
91152,Pharmaceuticals,16982,12373,4609
91152,Industrial_Equipment,9387,7703,1684
91152,Furniture,16432,10086,6346
1153,Electronics,17318,10288,7030
1153,Furniture,15001,11396,3605
1153,Consumer_Goods,16755,13954,2801
91153,Apparel,15624,12832,2792
91153,Pharmaceuticals,5812,3824,1988
91153,Consumer_Goods,18324,12105,6219
1154,Apparel,6590,4785,1805
1154,Industrial_Equipment,19261,11528,7733
1154,Furniture,16324,8080,8244
91154,Automotive_Parts,11193,4931,6262
91154,Apparel,4011,2055,1956
91154,Electronics,14906,11840,3066
1155,Furniture,3527,2222,1305
1155,Automotive_Parts,15634,11539,4095
1155,Consumer_Goods,10113,6159,3954
91155,Food_Beverage,7006,5727,1279
91155,Pharmaceuticals,6257,5285,972
91155,Automotive_Parts,4971,2719,2252
1157,Furniture,3051,2305,746
1157,Electronics,17004,9380,7624
1157,Automotive_Parts,11225,7834,3391
91157,Consumer_Goods,19302,13633,5669
91157,Apparel,13909,10523,3386
91157,Industrial_Equipment,16720,10384,6336
1158,Furniture,15644,13028,2616
1158,Consumer_Goods,13892,10783,3109
1158,Automotive_Parts,3529,2893,636
91158,Automotive_Parts,18701,15561,3140
91158,Furniture,11498,6404,5094
91158,Apparel,4301,3071,1230
1159,Apparel,2419,1134,1285
1159,Industrial_Equipment,3807,2641,1166
1159,Electronics,12121,8387,3734
91159,Furniture,6922,2817,4105
91159,Automotive_Parts,6917,3739,3178
91159,Industrial_Equipment,5719,2746,2973
1162,Electronics,13989,9558,4431
1162,Furniture,13103,9947,3156
1162,Apparel,18842,12350,6492
91162,Furniture,3108,1845,1263
91162,Industrial_Equipment,7580,4491,3089
91162,Electronics,9024,4745,4279
1163,Electronics,15833,10805,5028
1163,Consumer_Goods,3925,1624,2301
1163,Food_Beverage,11690,8478,3212
91163,Pharmaceuticals,7901,6486,1415
91163,Furniture,13441,8254,5187
91163,Automotive_Parts,13238,8994,4244
1165,Furniture,7225,4320,2905
1165,Consumer_Goods,14824,6196,8628
1165,Automotive_Parts,14340,10866,3474
91165,Automotive_Parts,13569,9412,4157
91165,Apparel,3270,2719,551
91165,Furniture,12946,8139,4807
1166,Automotive_Parts,6252,3297,2955
1166,Industrial_Equipment,11521,6048,5473
1166,Furniture,9632,5442,4190
91166,Pharmaceuticals,5958,4539,1419
91166,Industrial_Equipment,4602,3303,1299
91166,Automotive_Parts,9875,4311,5564
1167,Food_Beverage,14166,7857,6309
1167,Pharmaceuticals,5969,3258,2711
1167,Electronics,19086,12476,6610
91167,Electronics,10406,5897,4509
91167,Furniture,17172,7730,9442
91167,Apparel,5666,2572,3094
1169,Industrial_Equipment,2034,1685,349
1169,Pharmaceuticals,4584,2697,1887
1169,Food_Beverage,2359,1705,654
91169,Pharmaceuticals,10345,8674,1671
91169,Food_Beverage,6082,5133,949
91169,Furniture,2707,2117,590
1170,Pharmaceuticals,4564,3187,1377
1170,Food_Beverage,10699,6798,3901
1170,Consumer_Goods,11285,9209,2076
91170,Consumer_Goods,9201,4233,4968
91170,Furniture,11822,5491,6331
91170,Industrial_Equipment,5461,4175,1286
1171,Apparel,8738,6123,2615
1171,Consumer_Goods,3742,2980,762
1171,Food_Beverage,16632,10746,5886
91171,Apparel,10541,8321,2220
91171,Consumer_Goods,7103,4106,2997
91171,Industrial_Equipment,8954,4810,4144
1172,Furniture,13888,8245,5643
1172,Automotive_Parts,10806,8537,2269
1172,Pharmaceuticals,5921,3290,2631
91172,Food_Beverage,12081,7749,4332
91172,Electronics,15450,7145,8305
91172,Apparel,16915,13692,3223
1174,Furniture,11182,4654,6528
1174,Pharmaceuticals,12914,6697,6217
1174,Food_Beverage,10947,6066,4881
91174,Apparel,3677,1591,2086
91174,Pharmaceuticals,18691,9081,9610
91174,Consumer_Goods,5341,3598,1743
1175,Apparel,5775,2546,3229
1175,Consumer_Goods,17605,9381,8224
1175,Furniture,17763,10505,7258
91175,Automotive_Parts,14868,6408,8460
91175,Food_Beverage,2836,2396,440
91175,Industrial_Equipment,12680,10475,2205
1176,Furniture,7679,3519,4160
1176,Consumer_Goods,4330,2265,2065
1176,Electronics,14506,8053,6453
91176,Automotive_Parts,4847,2881,1966
91176,Pharmaceuticals,3253,2697,556
91176,Electronics,4580,2130,2450
1179,Furniture,3374,1656,1718
1179,Pharmaceuticals,18371,8500,9871
1179,Industrial_Equipment,2985,1856,1129
91179,Automotive_Parts,9938,6574,3364
91179,Consumer_Goods,5779,3279,2500
91179,Industrial_Equipment,6216,2687,3529
1182,Furniture,19827,16819,3008
1182,Automotive_Parts,17864,10546,7318
1182,Apparel,19633,8565,11068
91182,Automotive_Parts,2254,998,1256
91182,Electronics,17240,9531,7709
91182,Industrial_Equipment,10157,4887,5270
1183,Pharmaceuticals,17333,8812,8521
1183,Automotive_Parts,7424,3584,3840
1183,Industrial_Equipment,11691,7282,4409
91183,Apparel,13020,6753,6267
91183,Pharmaceuticals,19921,16303,3618
91183,Consumer_Goods,5102,2139,2963
1185,Automotive_Parts,6510,3930,2580
1185,Furniture,19342,14014,5328
1185,Pharmaceuticals,3579,1788,1791
91185,Apparel,18242,13834,4408
91185,Pharmaceuticals,6571,4556,2015
91185,Industrial_Equipment,19044,13298,5746
1187,Food_Beverage,11195,6266,4929
1187,Pharmaceuticals,15896,10265,5631
1187,Industrial_Equipment,13526,6165,7361
91187,Industrial_Equipment,17243,9836,7407
91187,Automotive_Parts,2750,1647,1103
91187,Electronics,16787,12406,4381
1189,Consumer_Goods,10650,5505,5145
1189,Electronics,13893,7214,6679
1189,Industrial_Equipment,6346,3585,2761
91189,Industrial_Equipment,14042,9074,4968
91189,Electronics,10835,8372,2463
91189,Pharmaceuticals,10074,7881,2193
1190,Automotive_Parts,9112,6925,2187
1190,Apparel,10746,7701,3045
1190,Furniture,19402,9171,10231
91190,Consumer_Goods,16204,8532,7672
91190,Apparel,15269,12360,2909
91190,Automotive_Parts,14513,6987,7526
1192,Consumer_Goods,9553,4572,4981
1192,Pharmaceuticals,3744,2182,1562
1192,Automotive_Parts,2523,1746,777
91192,Electronics,10112,5726,4386
91192,Consumer_Goods,8026,5844,2182
91192,Automotive_Parts,6935,3740,3195
1193,Pharmaceuticals,11706,7932,3774
1193,Automotive_Parts,4752,2281,2471
1193,Furniture,3318,1477,1841
91193,Industrial_Equipment,5356,2670,2686
91193,Consumer_Goods,5605,3732,1873
91193,Furniture,7817,5314,2503
1194,Consumer_Goods,7310,5090,2220
1194,Automotive_Parts,9906,5325,4581
1194,Furniture,12075,9760,2315
91194,Electronics,15101,12260,2841
91194,Consumer_Goods,10808,5887,4921
91194,Furniture,11334,8755,2579
1195,Consumer_Goods,15821,8235,7586
1195,Industrial_Equipment,17621,13908,3713
1195,Food_Beverage,12611,6848,5763
91195,Pharmaceuticals,16367,13079,3288
91195,Food_Beverage,9282,7875,1407
91195,Industrial_Equipment,8934,4186,4748
1197,Electronics,16371,13242,3129
1197,Food_Beverage,13482,9195,4287
1197,Pharmaceuticals,15160,8979,6181
91197,Apparel,2366,1481,885
91197,Electronics,3418,2458,960
91197,Pharmaceuticals,17407,13195,4212
1200,Pharmaceuticals,2602,1489,1113
1200,Electronics,11208,5770,5438
1200,Automotive_Parts,10539,4363,6176
91200,Food_Beverage,9482,4859,4623
91200,Electronics,10840,6472,4368
91200,Consumer_Goods,11680,7163,4517
1201,Food_Beverage,18338,7921,10417
1201,Electronics,14226,7017,7209
1201,Consumer_Goods,10116,6430,3686
91201,Apparel,9134,6279,2855
91201,Pharmaceuticals,2585,1056,1529
91201,Consumer_Goods,6479,3769,2710
1202,Automotive_Parts,19316,13870,5446
1202,Industrial_Equipment,7416,3951,3465
1202,Pharmaceuticals,19922,15042,4880
91202,Electronics,19745,13708,6037
91202,Automotive_Parts,14229,10338,3891
91202,Pharmaceuticals,18178,8313,9865
1203,Automotive_Parts,18538,14145,4393
1203,Industrial_Equipment,13739,6323,7416
1203,Consumer_Goods,3874,1670,2204
91203,Pharmaceuticals,15026,9745,5281
91203,Apparel,12928,6798,6130
91203,Industrial_Equipment,17045,10799,6246
1204,Industrial_Equipment,5150,2297,2853
1204,Electronics,14281,10893,3388
1204,Furniture,5690,2546,3144
91204,Electronics,15519,7534,7985
91204,Consumer_Goods,14250,8577,5673
91204,Furniture,3109,1526,1583
1205,Apparel,10088,4550,5538
1205,Consumer_Goods,12078,5839,6239
1205,Food_Beverage,12215,8618,3597
91205,Electronics,14321,6899,7422
91205,Automotive_Parts,7532,4146,3386
91205,Apparel,2253,1056,1197
1209,Consumer_Goods,12857,6163,6694
1209,Apparel,19343,9963,9380
1209,Furniture,12019,10087,1932
91209,Electronics,15913,6846,9067
