Supplier_ID,Supplier_Name,Country,Supplier_Type,Rating,OnTime_Rate,Secondary_Supplier_ID,Secondary_Premium_Pct,Lead_Time_Days
1082,Supplier-1082,India,Primary,3.71,1.0,91082.0,0.172,20
91082,Backup-Supplier-91082,India,Secondary,3.34,0.647,,,8
1083,Supplier-1083,Mexico,Primary,3.15,0.785,91083.0,0.104,14
91083,Backup-Supplier-91083,Mexico,Secondary,3.06,0.918,,,11
1084,Supplier-1084,Mexico,Primary,4.66,0.913,91084.0,0.082,4
91084,Backup-Supplier-91084,Mexico,Secondary,3.28,0.696,,,8
1085,Supplier-1085,Vietnam,Primary,3.46,0.843,91085.0,0.114,11
91085,Backup-Supplier-91085,Vietnam,Secondary,3.79,0.772,,,8
1087,Supplier-1087,USA,Primary,3.8,0.905,91087.0,0.113,18
91087,Backup-Supplier-91087,USA,Secondary,3.72,0.871,,,4
1090,Supplier-1090,India,Primary,3.75,0.954,91090.0,0.065,12
91090,Backup-Supplier-91090,India,Secondary,4.12,0.859,,,11
1091,Supplier-1091,USA,Primary,3.97,0.824,91091.0,0.074,2
91091,Backup-Supplier-91091,USA,Secondary,3.77,0.4,,,2
1095,Supplier-1095,Germany,Primary,4.07,0.908,91095.0,0.094,9
91095,Backup-Supplier-91095,Germany,Secondary,4.46,0.742,,,14
1098,Supplier-1098,India,Primary,3.8,0.901,91098.0,0.078,12
91098,Backup-Supplier-91098,India,Secondary,2.8,0.787,,,7
1101,Supplier-1101,China,Primary,2.98,0.834,91101.0,0.058,15
91101,Backup-Supplier-91101,China,Secondary,3.52,0.766,,,7
1105,Supplier-1105,India,Primary,3.93,0.922,91105.0,0.091,7
91105,Backup-Supplier-91105,India,Secondary,4.27,0.751,,,3
1107,Supplier-1107,Bangladesh,Primary,4.07,0.906,91107.0,0.095,12
91107,Backup-Supplier-91107,Bangladesh,Secondary,4.01,0.845,,,9
1108,Supplier-1108,Mexico,Primary,2.96,0.893,91108.0,0.147,14
91108,Backup-Supplier-91108,Mexico,Secondary,3.29,0.742,,,10
1109,Supplier-1109,Bangladesh,Primary,4.69,1.0,91109.0,0.146,11
91109,Backup-Supplier-91109,Bangladesh,Secondary,3.75,0.892,,,8
1110,Supplier-1110,China,Primary,3.88,0.942,91110.0,0.134,9
91110,Backup-Supplier-91110,China,Secondary,3.21,0.876,,,8
1112,Supplier-1112,Germany,Primary,4.0,0.927,91112.0,0.135,15
91112,Backup-Supplier-91112,Germany,Secondary,3.77,0.652,,,12
1116,Supplier-1116,India,Primary,3.5,0.694,91116.0,0.082,7
91116,Backup-Supplier-91116,India,Secondary,3.54,0.767,,,6
1117,Supplier-1117,Bangladesh,Primary,4.17,0.894,91117.0,0.168,13
91117,Backup-Supplier-91117,Bangladesh,Secondary,3.93,0.547,,,6
1121,Supplier-1121,Germany,Primary,2.49,0.864,91121.0,0.131,16
91121,Backup-Supplier-91121,Germany,Secondary,4.33,0.824,,,6
1122,Supplier-1122,Vietnam,Primary,4.09,0.807,91122.0,0.164,15
91122,Backup-Supplier-91122,Vietnam,Secondary,3.11,0.897,,,10
1126,Supplier-1126,India,Primary,3.23,0.957,91126.0,0.114,12
91126,Backup-Supplier-91126,India,Secondary,2.97,0.697,,,6
1128,Supplier-1128,Bangladesh,Primary,4.13,0.764,91128.0,0.177,7
91128,Backup-Supplier-91128,Bangladesh,Secondary,3.36,0.813,,,15
1131,Supplier-1131,USA,Primary,2.97,1.0,91131.0,0.134,13
91131,Backup-Supplier-91131,USA,Secondary,3.58,0.853,,,7
1135,Supplier-1135,China,Primary,4.67,0.814,91135.0,0.162,9
91135,Backup-Supplier-91135,China,Secondary,3.46,0.671,,,9
1136,Supplier-1136,India,Primary,4.67,0.852,91136.0,0.151,7
91136,Backup-Supplier-91136,India,Secondary,3.34,0.609,,,5
1138,Supplier-1138,Bangladesh,Primary,3.94,0.992,91138.0,0.131,9
91138,Backup-Supplier-91138,Bangladesh,Secondary,4.5,0.829,,,7
1139,Supplier-1139,Brazil,Primary,4.06,0.866,91139.0,0.165,10
91139,Backup-Supplier-91139,Brazil,Secondary,2.52,0.615,,,9
1140,Supplier-1140,Germany,Primary,3.63,0.8,91140.0,0.115,15
91140,Backup-Supplier-91140,Germany,Secondary,3.63,0.721,,,11
1142,Supplier-1142,China,Primary,4.75,0.909,91142.0,0.177,16
91142,Backup-Supplier-91142,China,Secondary,4.29,0.874,,,9
1143,Supplier-1143,Japan,Primary,4.11,0.75,91143.0,0.152,6
91143,Backup-Supplier-91143,Japan,Secondary,2.94,0.956,,,10
1145,Supplier-1145,Mexico,Primary,4.69,0.833,91145.0,0.114,11
91145,Backup-Supplier-91145,Mexico,Secondary,3.57,0.809,,,11
1146,Supplier-1146,Bangladesh,Primary,3.58,0.895,91146.0,0.059,13
91146,Backup-Supplier-91146,Bangladesh,Secondary,3.5,0.71,,,7
1148,Supplier-1148,Brazil,Primary,3.69,0.833,91148.0,0.157,11
91148,Backup-Supplier-91148,Brazil,Secondary,3.33,0.548,,,5
1151,Supplier-1151,Japan,Primary,3.64,0.791,91151.0,0.062,11
91151,Backup-Supplier-91151,Japan,Secondary,4.4,0.807,,,8
1152,Supplier-1152,Vietnam,Primary,3.75,0.86,91152.0,0.11,2
91152,Backup-Supplier-91152,Vietnam,Secondary,2.1,0.735,,,8
1153,Supplier-1153,Bangladesh,Primary,4.21,0.907,91153.0,0.073,16
91153,Backup-Supplier-91153,Bangladesh,Secondary,4.22,0.822,,,10
1154,Supplier-1154,Japan,Primary,3.96,0.804,91154.0,0.108,12
91154,Backup-Supplier-91154,Japan,Secondary,3.5,0.977,,,2
1155,Supplier-1155,Mexico,Primary,2.95,0.741,91155.0,0.135,10
91155,Backup-Supplier-91155,Mexico,Secondary,2.44,0.682,,,5
1157,Supplier-1157,China,Primary,5.0,1.0,91157.0,0.053,10
91157,Backup-Supplier-91157,China,Secondary,2.7,0.571,,,7
1158,Supplier-1158,Japan,Primary,3.2,0.852,91158.0,0.157,8
91158,Backup-Supplier-91158,Japan,Secondary,3.6,0.844,,,9
1159,Supplier-1159,Japan,Primary,3.01,0.945,91159.0,0.138,14
91159,Backup-Supplier-91159,Japan,Secondary,3.49,0.635,,,7
1162,Supplier-1162,Bangladesh,Primary,4.02,0.921,91162.0,0.166,18
91162,Backup-Supplier-91162,Bangladesh,Secondary,4.21,0.769,,,10
1163,Supplier-1163,USA,Primary,4.96,1.0,91163.0,0.075,8
91163,Backup-Supplier-91163,USA,Secondary,4.54,0.673,,,4
1165,Supplier-1165,USA,Primary,3.51,0.902,91165.0,0.068,9
91165,Backup-Supplier-91165,USA,Secondary,3.03,0.715,,,5
1166,Supplier-1166,South Korea,Primary,5.0,0.89,91166.0,0.129,10
91166,Backup-Supplier-91166,South Korea,Secondary,3.37,0.714,,,2
1167,Supplier-1167,Bangladesh,Primary,2.97,0.679,91167.0,0.131,7
91167,Backup-Supplier-91167,Bangladesh,Secondary,4.43,0.795,,,11
1169,Supplier-1169,Brazil,Primary,4.05,0.938,91169.0,0.056,14
91169,Backup-Supplier-91169,Brazil,Secondary,4.01,0.731,,,9
1170,Supplier-1170,Brazil,Primary,4.14,0.805,91170.0,0.177,7
91170,Backup-Supplier-91170,Brazil,Secondary,3.56,0.839,,,5
1171,Supplier-1171,Brazil,Primary,3.82,0.917,91171.0,0.075,18
91171,Backup-Supplier-91171,Brazil,Secondary,4.39,0.68,,,13
1172,Supplier-1172,Brazil,Primary,3.48,0.964,91172.0,0.132,10
91172,Backup-Supplier-91172,Brazil,Secondary,2.23,0.779,,,3
1174,Supplier-1174,Brazil,Primary,4.38,1.0,91174.0,0.11,13
91174,Backup-Supplier-91174,Brazil,Secondary,2.99,0.725,,,10
1175,Supplier-1175,Mexico,Primary,3.78,1.0,91175.0,0.072,15
91175,Backup-Supplier-91175,Mexico,Secondary,3.57,0.895,,,6
1176,Supplier-1176,Brazil,Primary,3.77,0.848,91176.0,0.157,14
91176,Backup-Supplier-91176,Brazil,Secondary,3.96,0.871,,,12
1179,Supplier-1179,Bangladesh,Primary,4.67,0.823,91179.0,0.17,9
91179,Backup-Supplier-91179,Bangladesh,Secondary,3.52,0.728,,,12
1182,Supplier-1182,China,Primary,4.02,0.838,91182.0,0.147,3
91182,Backup-Supplier-91182,China,Secondary,2.09,0.896,,,8
1183,Supplier-1183,Japan,Primary,3.95,0.727,91183.0,0.164,20
91183,Backup-Supplier-91183,Japan,Secondary,4.08,0.82,,,6
1185,Supplier-1185,Japan,Primary,3.56,0.647,91185.0,0.12,15
91185,Backup-Supplier-91185,Japan,Secondary,2.4,0.721,,,4
1187,Supplier-1187,Vietnam,Primary,3.22,0.865,91187.0,0.099,2
91187,Backup-Supplier-91187,Vietnam,Secondary,3.93,0.89,,,7
1189,Supplier-1189,Brazil,Primary,2.31,0.76,91189.0,0.105,2
91189,Backup-Supplier-91189,Brazil,Secondary,3.26,0.658,,,10
1190,Supplier-1190,Japan,Primary,3.39,0.9,91190.0,0.089,19
91190,Backup-Supplier-91190,Japan,Secondary,3.36,0.845,,,3
1192,Supplier-1192,Bangladesh,Primary,4.51,0.784,91192.0,0.137,11
91192,Backup-Supplier-91192,Bangladesh,Secondary,2.41,0.827,,,10
1193,Supplier-1193,Brazil,Primary,3.98,0.701,91193.0,0.068,14
91193,Backup-Supplier-91193,Brazil,Secondary,2.19,0.671,,,10
1194,Supplier-1194,Vietnam,Primary,3.96,0.901,91194.0,0.177,13
91194,Backup-Supplier-91194,Vietnam,Secondary,3.96,1.0,,,7
1195,Supplier-1195,South Korea,Primary,3.32,0.903,91195.0,0.055,9
91195,Backup-Supplier-91195,South Korea,Secondary,2.78,1.0,,,8
1197,Supplier-1197,South Korea,Primary,3.36,0.952,91197.0,0.167,10
91197,Backup-Supplier-91197,South Korea,Secondary,3.89,0.645,,,9
1200,Supplier-1200,Brazil,Primary,4.95,0.907,91200.0,0.12,9
91200,Backup-Supplier-91200,Brazil,Secondary,3.21,0.77,,,6
1201,Supplier-1201,USA,Primary,4.35,0.687,91201.0,0.09,10
91201,Backup-Supplier-91201,USA,Secondary,3.76,0.665,,,11
1202,Supplier-1202,USA,Primary,4.55,0.956,91202.0,0.158,15
91202,Backup-Supplier-91202,USA,Secondary,3.78,0.607,,,7
1203,Supplier-1203,South Korea,Primary,4.02,0.916,91203.0,0.121,13
91203,Backup-Supplier-91203,South Korea,Secondary,4.53,0.947,,,2
1204,Supplier-1204,Brazil,Primary,3.61,0.844,91204.0,0.097,12
91204,Backup-Supplier-91204,Brazil,Secondary,4.37,0.67,,,9
1205,Supplier-1205,South Korea,Primary,3.25,0.793,91205.0,0.13,9
91205,Backup-Supplier-91205,South Korea,Secondary,3.82,0.575,,,13
1209,Supplier-1209,Mexico,Primary,4.16,0.842,91209.0,0.172,6
91209,Backup-Supplier-91209,Mexico,Secondary,4.33,0.761,,,7
1211,Supplier-1211,China,Primary,3.51,0.802,91211.0,0.124,13
91211,Backup-Supplier-91211,China,Secondary,3.96,0.799,,,9
1212,Supplier-1212,Vietnam,Primary,3.55,1.0,91212.0,0.162,17
91212,Backup-Supplier-91212,Vietnam,Secondary,4.46,0.698,,,14
1213,Supplier-1213,USA,Primary,4.4,0.957,91213.0,0.099,11
91213,Backup-Supplier-91213,USA,Secondary,3.35,0.847,,,12
1214,Supplier-1214,China,Primary,3.91,0.769,91214.0,0.107,15
91214,Backup-Supplier-91214,China,Secondary,3.96,0.889,,,7
1215,Supplier-1215,Mexico,Primary,3.24,0.773,91215.0,0.115,12
91215,Backup-Supplier-91215,Mexico,Secondary,3.44,0.747,,,2
1216,Supplier-1216,Bangladesh,Primary,3.05,0.972,91216.0,0.105,13
91216,Backup-Supplier-91216,Bangladesh,Secondary,2.53,0.973,,,7
1219,Supplier-1219,Mexico,Primary,3.97,1.0,91219.0,0.111,10
91219,Backup-Supplier-91219,Mexico,Secondary,3.08,0.761,,,9
1222,Supplier-1222,Mexico,Primary,3.74,0.82,91222.0,0.106,11
91222,Backup-Supplier-91222,Mexico,Secondary,5.0,0.811,,,13
1225,Supplier-1225,India,Primary,4.01,0.956,91225.0,0.175,8
91225,Backup-Supplier-91225,India,Secondary,3.82,0.919,,,8
1226,Supplier-1226,Brazil,Primary,3.03,0.724,91226.0,0.078,4
91226,Backup-Supplier-91226,Brazil,Secondary,3.58,0.935,,,7
1228,Supplier-1228,Germany,Primary,2.44,0.841,91228.0,0.085,20
91228,Backup-Supplier-91228,Germany,Secondary,2.48,0.753,,,13
1230,Supplier-1230,USA,Primary,4.07,0.916,91230.0,0.165,13
91230,Backup-Supplier-91230,USA,Secondary,4.04,0.703,,,10
1231,Supplier-1231,China,Primary,2.98,0.893,91231.0,0.086,9
91231,Backup-Supplier-91231,China,Secondary,3.48,0.725,,,4
1232,Supplier-1232,Vietnam,Primary,3.59,0.75,91232.0,0.152,7
91232,Backup-Supplier-91232,Vietnam,Secondary,4.0,0.658,,,6
1233,Supplier-1233,Japan,Primary,3.43,0.993,91233.0,0.073,11
91233,Backup-Supplier-91233,Japan,Secondary,3.85,0.547,,,7
1235,Supplier-1235,South Korea,Primary,5.0,0.873,91235.0,0.067,14
91235,Backup-Supplier-91235,South Korea,Secondary,4.13,0.56,,,2
1236,Supplier-1236,Mexico,Primary,3.93,0.789,91236.0,0.115,10
91236,Backup-Supplier-91236,Mexico,Secondary,2.15,0.648,,,2
1237,Supplier-1237,Mexico,Primary,3.66,0.841,91237.0,0.153,16
91237,Backup-Supplier-91237,Mexico,Secondary,4.34,0.78,,,2
1239,Supplier-1239,Vietnam,Primary,4.17,0.916,91239.0,0.124,15
91239,Backup-Supplier-91239,Vietnam,Secondary,2.68,1.0,,,5
1240,Supplier-1240,Germany,Primary,4.25,0.691,91240.0,0.179,18
91240,Backup-Supplier-91240,Germany,Secondary,3.32,0.901,,,8
1241,Supplier-1241,China,Primary,3.74,0.996,91241.0,0.172,4
91241,Backup-Supplier-91241,China,Secondary,2.94,0.866,,,9
1243,Supplier-1243,USA,Primary,2.86,0.788,91243.0,0.173,10
91243,Backup-Supplier-91243,USA,Secondary,2.54,0.725,,,5
1244,Supplier-1244,Japan,Primary,4.26,0.941,91244.0,0.084,10
91244,Backup-Supplier-91244,Japan,Secondary,3.6,0.702,,,4
1245,Supplier-1245,South Korea,Primary,3.24,0.797,91245.0,0.175,12
91245,Backup-Supplier-91245,South Korea,Secondary,4.01,0.61,,,8
1247,Supplier-1247,Vietnam,Primary,3.67,0.894,91247.0,0.099,6
91247,Backup-Supplier-91247,Vietnam,Secondary,2.62,0.804,,,11
1250,Supplier-1250,Brazil,Primary,2.47,0.895,91250.0,0.077,11
91250,Backup-Supplier-91250,Brazil,Secondary,3.89,0.716,,,7
1251,Supplier-1251,Mexico,Primary,2.83,0.626,91251.0,0.075,8
91251,Backup-Supplier-91251,Mexico,Secondary,3.18,0.634,,,3
1252,Supplier-1252,Bangladesh,Primary,3.7,0.787,91252.0,0.178,13
91252,Backup-Supplier-91252,Bangladesh,Secondary,3.72,0.829,,,12
1258,Supplier-1258,Vietnam,Primary,3.16,0.855,91258.0,0.063,17
91258,Backup-Supplier-91258,Vietnam,Secondary,2.5,0.763,,,12
1259,Supplier-1259,South Korea,Primary,4.1,0.88,91259.0,0.168,10
91259,Backup-Supplier-91259,South Korea,Secondary,3.7,0.77,,,7
1261,Supplier-1261,South Korea,Primary,3.85,0.792,91261.0,0.102,23
91261,Backup-Supplier-91261,South Korea,Secondary,2.26,0.839,,,5
1263,Supplier-1263,Mexico,Primary,4.15,0.865,91263.0,0.152,16
91263,Backup-Supplier-91263,Mexico,Secondary,3.63,0.936,,,2
1264,Supplier-1264,Bangladesh,Primary,4.75,0.898,91264.0,0.163,7
91264,Backup-Supplier-91264,Bangladesh,Secondary,2.92,0.818,,,7
1267,Supplier-1267,Germany,Primary,3.97,0.968,91267.0,0.145,15
91267,Backup-Supplier-91267,Germany,Secondary,3.51,0.776,,,3
1278,Supplier-1278,Mexico,Primary,4.1,0.619,91278.0,0.065,6
91278,Backup-Supplier-91278,Mexico,Secondary,3.54,0.786,,,11
1279,Supplier-1279,Bangladesh,Primary,3.69,0.791,91279.0,0.169,17
91279,Backup-Supplier-91279,Bangladesh,Secondary,3.88,0.754,,,7
1280,Supplier-1280,Mexico,Primary,2.86,0.899,91280.0,0.175,15
91280,Backup-Supplier-91280,Mexico,Secondary,3.59,1.0,,,4
1286,Supplier-1286,South Korea,Primary,3.74,1.0,91286.0,0.178,9
91286,Backup-Supplier-91286,South Korea,Secondary,3.66,0.8,,,8
1287,Supplier-1287,USA,Primary,3.38,0.851,91287.0,0.177,12
91287,Backup-Supplier-91287,USA,Secondary,3.82,0.773,,,3
1288,Supplier-1288,South Korea,Primary,4.39,0.896,91288.0,0.158,10
91288,Backup-Supplier-91288,South Korea,Secondary,2.45,0.677,,,6
1291,Supplier-1291,India,Primary,4.54,0.796,91291.0,0.095,9
91291,Backup-Supplier-91291,India,Secondary,3.67,0.783,,,10
1295,Supplier-1295,USA,Primary,3.48,0.703,91295.0,0.163,9
91295,Backup-Supplier-91295,USA,Secondary,2.63,0.849,,,6
1296,Supplier-1296,Germany,Primary,5.0,0.686,91296.0,0.054,7
91296,Backup-Supplier-91296,Germany,Secondary,3.15,0.817,,,2
1297,Supplier-1297,Vietnam,Primary,3.94,1.0,91297.0,0.108,13
91297,Backup-Supplier-91297,Vietnam,Secondary,4.22,0.78,,,6
1298,Supplier-1298,Mexico,Primary,2.43,0.924,91298.0,0.068,7
91298,Backup-Supplier-91298,Mexico,Secondary,3.59,0.73,,,6
1299,Supplier-1299,Japan,Primary,4.16,0.726,91299.0,0.062,6
91299,Backup-Supplier-91299,Japan,Secondary,3.04,1.0,,,11
1300,Supplier-1300,China,Primary,3.86,0.766,91300.0,0.125,12
91300,Backup-Supplier-91300,China,Secondary,3.53,0.789,,,7
1303,Supplier-1303,South Korea,Primary,3.67,0.716,91303.0,0.108,15
91303,Backup-Supplier-91303,South Korea,Secondary,2.54,0.777,,,5
1305,Supplier-1305,Brazil,Primary,3.87,0.821,91305.0,0.082,14
91305,Backup-Supplier-91305,Brazil,Secondary,2.58,0.881,,,5
1308,Supplier-1308,Mexico,Primary,3.45,0.891,91308.0,0.09,15
91308,Backup-Supplier-91308,Mexico,Secondary,2.96,0.726,,,6
1310,Supplier-1310,Japan,Primary,3.46,0.97,91310.0,0.122,18
91310,Backup-Supplier-91310,Japan,Secondary,5.0,0.676,,,8
1313,Supplier-1313,India,Primary,3.09,0.782,91313.0,0.139,7
91313,Backup-Supplier-91313,India,Secondary,2.76,0.783,,,4
1315,Supplier-1315,India,Primary,4.31,0.768,91315.0,0.147,10
91315,Backup-Supplier-91315,India,Secondary,3.55,0.645,,,13
1317,Supplier-1317,Germany,Primary,4.47,0.89,91317.0,0.114,12
91317,Backup-Supplier-91317,Germany,Secondary,2.71,0.975,,,10
1318,Supplier-1318,India,Primary,3.86,0.616,91318.0,0.17,14
91318,Backup-Supplier-91318,India,Secondary,4.35,0.933,,,3
1319,Supplier-1319,South Korea,Primary,3.98,0.962,91319.0,0.062,11
91319,Backup-Supplier-91319,South Korea,Secondary,3.69,0.764,,,2
1320,Supplier-1320,Vietnam,Primary,3.6,0.827,91320.0,0.07,9
91320,Backup-Supplier-91320,Vietnam,Secondary,3.19,0.795,,,9
1321,Supplier-1321,India,Primary,3.62,0.819,91321.0,0.149,4
91321,Backup-Supplier-91321,India,Secondary,3.83,0.8,,,8
1322,Supplier-1322,China,Primary,4.38,0.665,91322.0,0.079,13
91322,Backup-Supplier-91322,China,Secondary,3.5,0.82,,,6
1323,Supplier-1323,Vietnam,Primary,4.2,0.953,91323.0,0.118,10
91323,Backup-Supplier-91323,Vietnam,Secondary,2.02,0.892,,,11
1325,Supplier-1325,South Korea,Primary,4.19,0.772,91325.0,0.089,15
91325,Backup-Supplier-91325,South Korea,Secondary,4.59,0.695,,,7
1326,Supplier-1326,Brazil,Primary,4.25,0.866,91326.0,0.092,13
91326,Backup-Supplier-91326,Brazil,Secondary,3.91,0.811,,,8
1329,Supplier-1329,Japan,Primary,3.64,1.0,91329.0,0.093,9
91329,Backup-Supplier-91329,Japan,Secondary,3.51,0.905,,,3
1332,Supplier-1332,China,Primary,3.01,0.656,91332.0,0.149,7
91332,Backup-Supplier-91332,China,Secondary,3.23,0.879,,,6
1333,Supplier-1333,Vietnam,Primary,3.94,0.83,91333.0,0.058,13
91333,Backup-Supplier-91333,Vietnam,Secondary,3.02,0.78,,,11
1334,Supplier-1334,India,Primary,4.04,0.72,91334.0,0.108,7
91334,Backup-Supplier-91334,India,Secondary,4.49,0.923,,,8
