OrderID,OrderDate,DeliveryDate,SupplierID,SupplierRegion,WarehouseID,WarehouseRegion,WarehouseCapacity,ProductCategory,ShelfLifeDays,TransportMode,DistanceKM,PlannedLeadTimeDays,ActualLeadTimeDays,OrderQuantity,UnitCost,ShippingCost,InventoryLevel,ReorderPoint,CustomerPriority,IsDelayed
ORD-100048,2024-05-16,2024-05-30,SUP-034,West,WH-06,South,34774,Beverages,30,Sea,1876.4,14.35,14.83,4976,6.73,373.48,29748.0,5216,Critical,0
ORD-100049,2023-02-27,2023-03-06,SUP-015,West,WH-09,North,44883,Confectionery,120,Road,2407.68,6.01,7.95,2601,8.28,1001.98,18582.0,6732,Standard,1
ORD-100050,2024-05-27,2024-06-02,SUP-007,South,WH-08,North,21814,Frozen Foods,20,Air,2228.81,3.79,6.71,782,3.59,1568.64,12953.0,3272,Standard,1
ORD-100051,2023-03-30,2023-04-07,SUP-040,East,WH-04,Central,39740,Beverages,30,Road,2979.6,6.72,8.29,2884,22.07,1374.91,35658.0,5961,Standard,1
ORD-100052,2023-11-23,2023-12-03,SUP-024,North,WH-02,South,19216,Personal Care,60,Rail,2516.92,8.15,10.47,823,21.91,207.14,4444.0,2882,Standard,1
ORD-100053,2024-07-02,2024-07-08,SUP-028,East,WH-07,North,23459,Frozen Foods,20,Rail,2287.35,7.86,6.84,4624,0.81,1057.67,12071.0,3518,High,0
ORD-100054,2024-07-17,2024-07-20,SUP-036,Central,WH-08,North,21814,Home Care,90,Rail,490.65,5.61,3.93,3425,21.55,168.05,4352.0,3272,Critical,0
ORD-100055,2024-04-15,2024-04-19,SUP-036,Central,WH-08,North,21814,Home Care,90,Rail,2238.06,7.8,4.97,4751,3.06,1063.3,12432.0,3272,Critical,0
ORD-100056,2023-01-03,2023-01-11,SUP-009,East,WH-06,South,34774,Frozen Foods,20,Road,2938.71,6.67,8.67,4659,10.17,2190.63,30864.0,5216,Standard,1
ORD-100057,2023-01-08,2023-01-14,SUP-025,East,WH-07,North,23459,Staples,180,Road,630.39,3.79,6.17,3856,4.49,388.93,3075.0,3518,High,1
ORD-100058,2023-05-25,2023-06-07,SUP-004,East,WH-06,South,34774,Confectionery,120,Sea,870.43,13.09,13.93,2420,11.98,84.26,18152.0,5216,Standard,0
ORD-100059,2023-06-28,2023-07-02,SUP-027,South,WH-09,North,44883,Home Care,90,Road,794.69,3.99,4.12,1543,22.59,196.19,39349.0,6732,Critical,0
ORD-100060,2023-10-27,2023-10-31,SUP-006,South,WH-12,North,38605,Personal Care,60,Rail,336.08,5.42,4.09,2042,4.55,68.63,20937.0,5790,Standard,0
ORD-100061,2024-01-18,2024-01-24,SUP-030,Central,WH-09,North,44883,Personal Care,60,Road,1244.32,4.56,6.0,263,23.57,52.36,9282.0,6732,Standard,1
ORD-100062,2023-05-10,2023-05-14,SUP-034,West,WH-08,North,21814,Snacks,45,Road,1377.08,4.72,4.92,713,21.93,157.1,18571.0,3272,Standard,0
ORD-100063,2023-08-05,2023-08-23,SUP-007,South,WH-01,South,26129,Staples,180,Sea,2343.21,14.93,18.13,2285,13.65,214.17,13841.0,3919,Standard,1
ORD-100064,2023-03-07,2023-03-11,SUP-020,South,WH-11,Central,38147,Staples,180,Road,1685.53,5.11,4.8,4377,3.41,1180.41,1146.0,5722,Critical,0
ORD-100065,2024-12-09,2024-12-15,SUP-017,West,WH-07,North,23459,Dairy,7,Road,2966.38,6.71,6.2,1885,4.25,894.66,10996.0,3518,Critical,0
ORD-100066,2023-02-11,2023-02-19,SUP-032,Central,WH-08,North,21814,Dairy,7,Air,2391.22,3.99,8.03,2678,16.16,5763.33,9554.0,3272,Standard,1
ORD-100067,2023-10-18,2023-10-25,SUP-019,Central,WH-10,Central,9251,Snacks,45,Road,1915.23,5.39,7.18,3255,18.29,997.45,2952.0,1387,Standard,1
ORD-100068,2024-03-24,2024-04-01,SUP-039,North,WH-07,North,23459,Personal Care,60,Road,2050.38,5.56,8.48,4940,22.37,1620.62,10547.0,3518,High,1
ORD-100069,2023-05-06,2023-05-13,SUP-013,South,WH-05,Central,20101,Staples,180,Road,2228.61,5.79,7.44,790,12.97,281.7,14468.0,3015,Critical,1
ORD-100070,2024-05-23,2024-05-27,SUP-017,West,WH-06,South,34774,Home Care,90,Road,320.58,3.4,4.36,3678,0.98,188.66,23052.0,5216,Standard,0
ORD-100071,2024-07-02,2024-07-07,SUP-010,Central,WH-11,Central,38147,Frozen Foods,20,Road,861.7,4.08,5.51,1441,22.8,198.67,25739.0,5722,Standard,1
ORD-100072,2024-03-01,2024-03-10,SUP-025,East,WH-09,North,44883,Personal Care,60,Rail,995.45,6.24,9.15,2229,1.07,221.89,30764.0,6732,Standard,1
ORD-100073,2023-05-09,2023-05-15,SUP-038,Central,WH-11,Central,38147,Confectionery,120,Road,1656.42,5.07,6.46,4074,6.48,1079.72,12745.0,5722,Critical,1
ORD-100074,2023-01-16,2023-01-19,SUP-030,Central,WH-12,North,38605,Confectionery,120,Air,1467.79,2.83,3.8,3050,7.59,4029.09,24893.0,5790,Standard,0
ORD-100075,2024-04-24,2024-04-26,SUP-033,North,WH-04,Central,39740,Confectionery,120,Road,72.15,3.09,2.84,714,3.89,8.24,33348.0,5961,High,0
ORD-100076,2023-07-29,2023-08-05,SUP-008,Central,WH-12,North,38605,Snacks,45,Road,1878.02,5.35,7.03,3181,3.88,955.84,2688.0,5790,High,1
ORD-100077,2023-11-27,2023-12-03,SUP-005,East,WH-09,North,44883,Confectionery,120,Road,1299.31,4.62,6.46,1510,16.49,313.91,30797.0,6732,Critical,1
ORD-100078,2024-05-13,2024-05-20,SUP-030,Central,WH-02,South,19216,Staples,180,Road,1410.57,4.76,7.42,1875,9.16,423.17,12918.0,2882,High,1
ORD-100079,2023-10-16,2023-10-30,SUP-013,South,WH-03,North,5995,Frozen Foods,20,Sea,1499.21,13.87,14.37,2870,2.85,172.11,5270.0,899,Standard,0
ORD-100080,2023-06-15,2023-06-18,SUP-001,South,WH-02,South,19216,Home Care,90,Air,152.77,1.19,3.28,1743,4.1,239.66,3228.0,2882,High,1
ORD-100081,2023-02-01,2023-02-03,SUP-004,East,WH-06,South,34774,Home Care,90,Air,809.48,2.01,2.91,2717,11.88,1979.43,26089.0,5216,Standard,0
ORD-100082,2024-12-03,2024-12-10,SUP-005,East,WH-10,Central,9251,Beverages,30,Road,567.27,3.71,7.63,3510,3.86,318.58,9162.0,1387,High,1
ORD-100083,2024-11-26,2024-12-01,SUP-040,East,WH-12,North,38605,Confectionery,120,Road,701.35,3.88,5.22,1296,14.38,145.43,28364.0,5790,Standard,1
ORD-100084,2024-01-23,2024-01-27,SUP-002,North,WH-12,North,38605,Dairy,7,Road,817.54,4.02,4.15,563,14.25,73.64,31911.0,5790,Standard,0
ORD-100085,2023-11-25,2023-11-29,SUP-023,North,WH-08,North,21814,Frozen Foods,20,Road,53.15,3.07,4.37,3879,4.71,32.99,14098.0,3272,High,1
ORD-100086,2023-12-13,2023-12-21,SUP-003,North,WH-05,Central,20101,Snacks,45,Rail,626.69,5.78,8.51,4467,5.57,279.94,1993.0,3015,Standard,1
ORD-100087,2023-05-12,2023-05-18,SUP-013,South,WH-05,Central,20101,Personal Care,60,Road,1104.24,4.38,6.15,2122,22.26,374.91,4128.0,3015,Critical,1
ORD-100088,2023-12-02,2023-12-22,SUP-025,East,WH-05,Central,20101,Beverages,30,Sea,2275.1,14.84,20.34,759,1.58,69.07,20034.0,3015,Standard,1
ORD-100089,2024-10-30,2024-11-13,SUP-033,North,WH-12,North,38605,Snacks,45,Sea,1520.99,13.9,14.94,3984,3.64,242.38,22574.0,5790,Standard,1
ORD-100090,2023-01-23,2023-01-27,SUP-024,North,WH-07,North,23459,Personal Care,60,Road,1322.98,4.65,4.58,4020,10.09,850.94,21882.0,3518,Standard,0
ORD-100091,2023-08-01,2023-08-07,SUP-027,South,WH-05,Central,20101,Dairy,7,Road,1069.91,4.34,6.15,1563,18.22,267.56,3338.0,3015,Standard,1
ORD-100092,2024-01-24,2024-02-09,SUP-011,Central,WH-07,North,23459,Confectionery,120,Sea,1812.31,14.27,16.86,3300,10.12,239.23,,3518,Critical,1
ORD-100093,2024-11-14,2024-11-17,SUP-028,East,WH-11,Central,38147,Dairy,7,Road,2243.21,5.8,3.82,1055,0.63,378.65,17767.0,5722,High,0
ORD-100094,2024-09-13,2024-09-17,SUP-023,North,WH-01,South,26129,Personal Care,60,Road,2335.98,5.92,4.48,1241,24.11,463.83,25225.0,3919,High,0
ORD-100095,2024-02-28,2024-03-10,SUP-015,West,WH-02,South,19216,Beverages,30,Sea,1471.2,13.84,11.96,3660,10.91,215.38,11668.0,2882,Standard,0
ORD-100096,2023-06-11,2023-06-18,SUP-034,West,WH-01,South,26129,Personal Care,60,Road,2629.29,6.29,7.3,2557,17.41,1075.69,12115.0,3919,Standard,1
ORD-100097,2023-04-10,2023-04-17,SUP-002,North,WH-07,North,23459,Home Care,90,Rail,682.26,5.85,7.69,2486,2.87,169.61,8073.0,3518,Critical,1
ORD-100098,2023-06-28,2023-07-12,SUP-004,East,WH-07,North,23459,Frozen Foods,20,Sea,1920.99,14.4,14.71,1853,13.6,142.38,842.0,3518,Critical,0
ORD-100099,2024-02-02,2024-02-07,SUP-013,South,WH-07,North,23459,Staples,180,Road,2810.83,6.51,5.95,73,4.32,32.83,19581.0,3518,Standard,0
ORD-100100,2024-08-01,2024-08-14,SUP-018,East,WH-12,North,38605,Beverages,30,Sea,966.43,13.21,13.24,1029,2.81,39.78,37229.0,5790,High,0
ORD-100101,2024-03-27,2024-04-02,SUP-034,West,WH-05,Central,20101,Staples,180,Road,2397.58,6.0,6.97,4828,24.31,1852.08,18069.0,3015,High,0
ORD-100102,2023-07-24,2023-07-27,SUP-015,West,WH-03,North,5995,Home Care,90,Road,278.44,3.35,3.42,1008,15.5,44.91,5579.0,899,Standard,0
ORD-100103,2024-08-20,2024-09-06,SUP-009,East,WH-05,Central,20101,Dairy,7,Sea,2932.72,15.67,17.38,1808,2.05,212.09,3087.0,3015,Standard,1
ORD-100104,2024-04-26,2024-05-10,SUP-026,North,WH-10,Central,9251,Snacks,45,Sea,1872.48,14.34,14.1,681,2.72,51.01,3218.0,1387,Standard,0
ORD-100105,2023-08-26,2023-08-31,SUP-031,North,WH-02,South,19216,Dairy,7,Road,996.17,4.25,5.64,852,6.1,135.8,8354.0,2882,High,1
ORD-100106,2024-08-23,2024-08-28,SUP-005,East,WH-08,North,21814,Home Care,90,Rail,1549.17,6.94,5.09,540,12.21,83.66,10607.0,3272,Standard,0
ORD-100107,2024-06-09,2024-06-23,SUP-026,North,WH-08,North,21814,Beverages,30,Sea,1433.56,13.79,14.38,3600,20.64,206.43,1316.0,3272,High,0
ORD-100108,2023-05-21,2023-05-29,SUP-035,Central,WH-10,Central,9251,Frozen Foods,20,Road,2004.46,5.51,8.5,3539,10.91,1135.01,3431.0,1387,High,1
ORD-100109,2024-01-24,2024-01-26,SUP-009,East,WH-08,North,21814,Frozen Foods,20,Road,635.82,3.79,2.52,1161,7.18,118.11,19516.0,3272,Standard,0
ORD-100110,2023-10-16,2023-11-01,SUP-012,South,WH-04,Central,39740,Dairy,7,Sea,2293.61,14.87,16.26,3768,12.22,345.69,14214.0,5961,Standard,1
ORD-100111,2024-05-31,2024-06-05,SUP-023,North,WH-10,Central,9251,Frozen Foods,20,Road,1469.31,4.84,5.22,589,11.48,138.47,7540.0,1387,High,0
ORD-100112,2023-06-18,2023-06-28,SUP-019,Central,WH-05,Central,20101,Home Care,90,Road,2267.75,5.83,10.16,1859,11.25,674.52,2631.0,3015,Standard,1
ORD-100113,2023-02-13,2023-02-18,SUP-038,Central,WH-05,Central,20101,Home Care,90,Rail,2608.16,8.26,5.01,2233,22.76,582.4,17885.0,3015,High,0
ORD-100114,2024-02-28,2024-03-05,SUP-020,South,WH-06,South,34774,Home Care,90,Road,1726.09,5.16,6.54,4948,6.02,1366.51,3778.0,5216,High,1
ORD-100115,2023-03-28,2023-04-02,SUP-036,Central,WH-02,South,19216,Personal Care,60,Road,840.85,4.05,5.57,2187,14.15,294.23,6622.0,2882,Standard,1
ORD-100116,2024-04-04,2024-04-18,SUP-038,Central,WH-10,Central,9251,Home Care,90,Sea,2059.92,14.57,14.79,1166,6.99,96.07,7511.0,1387,Critical,0
ORD-100117,2023-11-03,2023-11-18,SUP-010,Central,WH-12,North,38605,Personal Care,60,Sea,830.56,13.04,15.48,3512,19.51,116.68,9768.0,5790,High,1
ORD-100118,2024-05-08,2024-05-22,SUP-001,South,WH-07,North,23459,Dairy,7,Sea,164.0,12.21,14.51,3657,2.68,23.99,19000.0,3518,Standard,1
ORD-100119,2023-05-07,2023-05-13,SUP-008,Central,WH-07,North,23459,Home Care,90,Road,2592.35,6.24,6.69,714,10.59,296.15,23059.0,3518,Standard,0
ORD-100120,2023-03-05,2023-03-11,SUP-031,North,WH-12,North,38605,Beverages,30,Road,641.66,3.8,6.42,1228,20.0,126.07,11173.0,5790,Critical,1
ORD-100121,2023-03-28,2023-04-13,SUP-011,Central,WH-04,Central,39740,Snacks,45,Sea,1236.04,13.55,16.27,3178,1.36,157.13,15864.0,5961,Standard,1
ORD-100122,2023-10-14,2023-10-29,SUP-037,South,WH-08,North,21814,Confectionery,120,Sea,721.6,12.9,15.62,2730,15.66,78.8,6670.0,3272,High,1
ORD-100123,2023-03-19,2023-04-02,SUP-030,Central,WH-12,North,38605,Home Care,90,Sea,1606.0,14.01,14.89,848,7.55,54.48,28928.0,5790,Standard,0
ORD-100124,2024-01-04,2024-01-10,SUP-024,North,WH-11,Central,38147,Home Care,90,Air,2743.8,4.43,6.56,1483,13.32,3662.15,25862.0,5722,Standard,1
ORD-100125,2024-08-17,2024-08-26,SUP-037,South,WH-02,South,19216,Staples,180,Road,1932.76,5.42,9.93,1149,10.6,355.32,1802.0,2882,High,1
ORD-100126,2024-03-21,2024-03-26,SUP-040,East,WH-06,South,34774,Staples,180,Road,2322.07,5.9,5.24,1505,20.83,559.15,22898.0,5216,Standard,0
ORD-100127,2024-03-17,2024-03-25,SUP-020,South,WH-06,South,34774,Beverages,30,Road,2602.05,6.25,8.38,2111,1.75,878.87,32866.0,5216,High,1
ORD-100128,2024-06-20,2024-06-29,SUP-036,Central,WH-04,Central,39740,Snacks,45,Rail,2348.85,7.94,9.46,2067,23.98,485.51,1080.0,5961,High,1
ORD-100129,2023-03-17,2023-03-23,SUP-020,South,WH-02,South,19216,Home Care,90,Rail,644.53,5.81,6.29,337,14.68,21.72,6717.0,2882,Standard,0
ORD-100130,2024-08-25,2024-08-27,SUP-014,Central,WH-10,Central,9251,Snacks,45,Road,315.5,3.39,2.82,353,2.31,17.82,9156.0,1387,Standard,0
ORD-100131,2023-01-28,2023-02-03,SUP-026,North,WH-05,Central,20101,Staples,180,Rail,1590.27,6.99,6.27,3537,11.96,562.48,6956.0,3015,Standard,0
ORD-100132,2024-07-05,2024-07-10,SUP-010,Central,WH-10,Central,9251,Confectionery,120,Road,2073.85,5.59,5.54,4413,8.04,1464.3,7077.0,1387,Standard,0
ORD-100133,2024-12-19,2024-12-30,SUP-023,North,WH-03,North,5995,Personal Care,60,Rail,1884.49,7.36,11.66,4627,17.49,871.95,809.0,899,High,1
ORD-100134,2023-02-07,2023-02-15,SUP-017,West,WH-06,South,34774,Beverages,30,Road,1350.84,4.69,8.15,233,12.08,50.36,26442.0,5216,Standard,1
ORD-100135,2024-12-01,2024-12-03,SUP-022,Central,WH-08,North,21814,Dairy,7,Air,261.96,1.33,2.55,2597,12.59,612.28,20105.0,3272,Standard,1
ORD-100136,2023-11-07,2023-11-11,SUP-009,East,WH-02,South,19216,Beverages,30,Road,1324.24,4.66,4.87,3561,14.46,754.5,617.0,2882,Standard,0
ORD-100137,2023-05-23,2023-05-27,SUP-014,Central,WH-05,Central,20101,Frozen Foods,20,Road,2290.95,5.86,4.77,4725,19.02,1731.96,10054.0,3015,High,0
ORD-100138,2023-09-13,2023-09-23,SUP-011,Central,WH-09,North,44883,Personal Care,60,Rail,2980.89,8.73,10.88,1737,21.57,517.78,28681.0,6732,Critical,1
ORD-100139,2023-06-14,2023-06-30,SUP-013,South,WH-12,North,38605,Home Care,90,Sea,2955.89,15.69,16.72,4804,8.36,568.0,10389.0,5790,Standard,1
ORD-100140,2023-10-29,2023-11-04,SUP-017,West,WH-09,North,44883,Frozen Foods,20,Road,1025.5,4.28,6.25,2685,11.43,440.55,38173.0,6732,Standard,1
ORD-100141,2024-12-13,2024-12-22,SUP-013,South,WH-02,South,19216,Snacks,45,Rail,861.34,6.08,9.47,4619,1.03,397.85,11178.0,2882,High,1
ORD-100142,2024-05-07,2024-05-22,SUP-018,East,WH-05,Central,20101,Beverages,30,Sea,2684.5,15.36,15.56,2990,13.96,321.07,18169.0,3015,Standard,0
ORD-100143,2023-05-24,2023-05-31,SUP-024,North,WH-12,North,38605,Staples,180,Road,935.8,4.17,7.66,3715,1.63,556.24,8663.0,5790,Standard,1
ORD-100144,2024-02-01,2024-02-07,SUP-026,North,WH-03,North,5995,Dairy,7,Air,2441.03,4.05,6.15,4330,15.28,9512.71,2847.0,899,Standard,1
ORD-100145,2023-04-29,2023-05-17,SUP-017,West,WH-01,South,26129,Snacks,45,Sea,2780.78,15.48,18.5,2686,,298.77,466.0,3919,Critical,1
ORD-100146,2023-05-24,2023-05-27,SUP-037,South,WH-03,North,5995,Staples,180,Rail,280.56,5.35,3.4,4694,10.72,131.7,3685.0,899,Standard,0
ORD-100147,2024-05-28,2024-06-01,SUP-030,Central,WH-03,North,5995,Confectionery,120,Road,1554.0,4.94,4.49,695,9.54,172.8,4395.0,899,Standard,0
ORD-100148,2024-01-16,2024-01-28,SUP-030,Central,WH-02,South,19216,Snacks,45,Sea,1165.69,13.46,12.97,2969,23.2,138.44,11888.0,2882,Standard,0
ORD-100149,2023-11-26,2023-12-04,SUP-004,East,WH-09,North,44883,Frozen Foods,20,Road,260.17,3.33,8.99,744,8.71,30.97,12797.0,6732,High,1
ORD-100150,2024-08-07,2024-08-13,SUP-039,North,WH-04,Central,39740,Frozen Foods,20,Road,2661.02,6.33,6.5,1390,17.34,591.81,6067.0,5961,Standard,0
ORD-100151,2024-05-18,2024-05-23,SUP-017,West,WH-07,North,23459,Dairy,7,Road,144.53,3.18,5.4,1677,3.16,38.78,15279.0,3518,Standard,1
ORD-100152,2024-07-12,2024-07-19,SUP-033,North,WH-01,South,26129,Home Care,90,Rail,1800.87,7.25,7.73,3794,10.82,683.25,9010.0,3919,Standard,0
ORD-100153,2024-12-16,2024-12-24,SUP-025,East,WH-03,North,5995,Confectionery,120,Road,2373.29,5.97,8.25,4916,1.54,1866.73,5881.0,899,Standard,1
ORD-100154,2023-03-09,2023-03-15,SUP-040,East,WH-03,North,5995,Beverages,30,Road,2535.83,6.17,6.39,798,12.13,323.77,5863.0,899,Standard,0
ORD-100155,2024-07-29,2024-08-04,SUP-021,Central,WH-01,South,26129,Beverages,30,Road,2793.81,6.49,6.36,4871,12.86,2177.38,6763.0,3919,High,0
