Shipment_ID,Supplier_ID,Supplier_Rating,Supplier_Country,Destination_Country,Shipping_Mode,Carrier,Warehouse,Historical_Delay_Count,Inventory_Level,Demand_Forecast,Weather_Severity,Holiday_Impact,Traffic_Index,Fuel_Price,Port_Congestion,Distance,Purchase_Order_Value,Order_Priority,Customer_Type,Packaging_Type,Vehicle_Availability,Production_Status,Quality_Score,Inspection_Delay,Customs_Clearance_Time,Container_Type,Shipment_Weight,Shipment_Volume,Temperature_Sensitive,Fragile,Route_Risk,Carbon_Emission,Supplier_OnTime_Rate,Market_Demand_Index,Geopolitical_Risk,Economic_Index,Order_Date,Expected_Lead_Time,Lead_Time,Inventory_Days,Transportation_Cost,Late_Delivery_Cost,Supplier_Risk,Month,Quarter,Week,Year,Delay,Product_Category,Units
SHP-114976,1323,3.85,South Korea,Japan,Sea,DHL,WH-020,1,4519,4280,1.99,0,6.64,3.98,5.35,3403.3,3016.72,Medium,Retail,Drum,57.0,On Schedule,82.5,0.4,0.67,Open Top,1197.88,15.72,0,1,1.84,400.76,0.763,22.8,3.82,105.5,2023-10-13,21.3,28.2,31.7,113.62,71.7,Low,10,4,41,2023,0,Food_Beverage,349
SHP-115698,1237,3.75,Mexico,India,Rail,Maersk,WH-011,1,1943,423,2.44,0,5.17,3.05,1.04,3128.5,9442.27,Medium,Enterprise,Carton,63.7,On Schedule,83.6,1.53,0.58,Reefer,404.41,11.65,0,1,3.0,361.44,0.744,63.5,3.32,109.2,2022-03-06,13.9,18.1,137.8,132.82,202.13,Medium,3,1,9,2022,0,Apparel,92
SHP-113829,1423,4.91,Germany,Japan,Air,Maersk,WH-020,2,1600,432,5.28,0,7.16,2.34,1.24,3271.5,10969.95,High,Retail,Drum,80.9,Ahead of Schedule,100.0,0.68,0.15,Open Top,174.03,10.28,1,0,0.81,766.71,0.951,68.5,2.88,97.5,2024-10-25,3.3,7.4,111.1,517.38,271.14,Low,10,4,43,2024,1,Automotive_Parts,68
SHP-113419,1479,3.09,Germany,UK,Rail,UPS,WH-008,3,4201,571,2.36,0,6.39,4.04,2.01,3147.1,1007.69,Low,Government,Drum,73.1,Delayed,100.0,0.5,0.15,Flat Rack,594.84,4.5,0,0,2.34,443.37,0.684,33.6,5.63,108.6,2023-12-27,17.5,23.8,220.7,181.0,38.25,Medium,12,4,52,2023,0,Pharmaceuticals,368
SHP-100960,1008,3.29,South Korea,UK,Rail,Maersk,WH-015,3,2061,257,3.64,0,5.09,3.88,6.2,1509.3,2231.11,Medium,Government,Pallet,65.9,On Schedule,90.6,0.42,0.72,Open Top,1180.65,7.02,0,0,1.92,358.85,0.8,47.3,0.49,113.0,2024-05-04,9.3,17.5,240.6,101.76,54.8,Medium,5,2,18,2024,1,Pharmaceuticals,754
SHP-117744,1291,4.33,India,Germany,Sea,CMA CGM,WH-016,3,4739,3597,1.33,0,4.63,2.77,,2130.2,2467.1,Medium,Retail,Pallet,76.9,On Schedule,80.7,1.01,1.23,Reefer,4979.16,6.69,0,0,3.49,453.02,0.879,42.2,2.94,88.4,2023-09-11,31.6,37.0,39.5,83.95,57.74,Low,9,3,37,2023,0,Electronics,1291
SHP-109864,1425,3.68,Germany,Australia,Air,Kuehne+Nagel,WH-014,1,4686,3505,2.01,1,3.95,2.88,0.9,3525.2,18118.14,Low,Retail,Drum,48.2,Delayed,86.2,0.59,4.22,20ft Dry,1788.69,1.08,0,1,2.21,439.69,0.941,60.2,0.58,92.3,2022-07-16,2.1,3.8,40.1,808.22,443.18,Low,7,3,28,2022,1,Consumer_Goods,428
SHP-111263,1469,4.07,Mexico,UK,Sea,Expeditors,WH-005,3,1247,5382,5.11,1,3.36,2.93,2.94,3446.4,6962.37,Low,Government,Crate,93.2,On Schedule,82.0,0.18,2.53,Flat Rack,2507.02,14.38,0,0,1.79,774.79,0.719,61.0,1.29,76.4,2024-06-14,23.6,31.6,7.0,95.85,148.83,Low,6,2,24,2024,0,Apparel,2575
SHP-115782,1459,4.0,USA,UAE,Sea,UPS,WH-015,0,2521,3396,2.11,0,6.71,3.66,3.31,4308.0,6875.9,Critical,Enterprise,Bulk,67.3,On Schedule,82.0,0.75,3.87,Open Top,1139.24,13.55,0,1,2.13,496.8,0.691,49.6,1.85,103.5,2024-12-16,28.8,35.2,22.3,128.2,150.34,Medium,12,4,51,2024,0,Industrial_Equipment,1425
SHP-117196,1247,3.72,Vietnam,Japan,Rail,DB Schenker,WH-013,2,3658,5013,0.78,0,3.59,3.28,4.46,2467.3,6934.7,High,Government,Crate,69.7,Ahead of Schedule,95.9,0.53,3.06,Flat Rack,2032.02,10.72,1,1,3.47,563.41,0.922,58.3,1.7,89.2,2021-08-02,8.3,13.5,21.9,142.4,152.93,Low,8,3,31,2021,1,Industrial_Equipment,640
SHP-107554,1158,2.76,Japan,Japan,Rail,Expeditors,WH-010,2,2447,5808,5.5,0,3.97,3.45,4.39,2705.3,22570.16,Medium,Government,Drum,83.0,On Schedule,83.2,0.69,0.54,Flat Rack,822.5,15.05,0,0,1.07,630.94,0.839,48.9,0.29,83.1,2023-11-02,6.9,13.7,12.6,138.55,465.26,Medium,11,4,44,2023,1,Furniture,710
SHP-110498,1048,3.24,South Korea,USA,Rail,FedEx,WH-020,5,1523,1614,1.71,0,0.38,3.8,1.54,3912.7,16079.99,Low,Enterprise,Crate,100.0,On Schedule,100.0,3.51,0.69,Reefer,286.73,7.92,0,0,0.91,502.78,0.99,50.8,2.98,94.9,2023-10-13,10.3,11.7,28.3,202.55,341.85,Low,10,4,41,2023,0,Industrial_Equipment,68
SHP-117059,1055,2.97,China,India,Sea,Expeditors,WH-016,5,1182,1480,1.19,0,2.45,4.02,1.94,6695.0,16000.02,Critical,Government,Drum,74.6,On Schedule,90.3,1.35,1.2,Reefer,654.16,3.45,1,0,4.68,631.8,0.872,62.7,6.08,81.7,2021-10-30,32.1,38.6,24.0,205.63,340.56,Medium,10,4,43,2021,0,Automotive_Parts,345
SHP-117928,1469,3.1,Vietnam,Germany,Rail,Expeditors,WH-010,2,2014,5488,3.67,0,4.02,4.3,0.39,3005.0,20252.58,Critical,Government,Crate,61.1,Ahead of Schedule,100.0,0.25,1.83,Reefer,2450.05,25.92,0,0,4.41,423.19,0.709,48.4,2.41,95.8,2022-02-21,13.3,19.8,11.0,226.79,427.73,Medium,2,1,8,2022,1,Furniture,2135
SHP-107085,1072,2.53,Japan,Australia,Road,DHL,WH-018,3,717,760,1.76,1,5.54,4.14,4.21,3659.9,10697.73,Medium,Wholesale,Bulk,67.5,On Schedule,83.9,0.02,3.74,Reefer,3376.92,8.06,0,1,1.94,436.29,0.848,32.2,4.13,108.3,2024-02-26,6.2,13.5,28.3,366.07,250.56,Medium,2,1,9,2024,1,Pharmaceuticals,727
