Origin_Country,Destination_Country,Mode,Transit_Days,Weekly_Capacity_Kg,Available
Bangladesh,USA,Rail,6.6,28047,True
Bangladesh,USA,Road,6.2,23284,True
Japan,UK,Air,2.9,12730,True
Japan,UK,Sea,18.2,51727,True
Japan,UK,Rail,12.0,48451,True
Japan,UK,Road,13.3,49342,True
South Korea,USA,Air,4.4,13526,True
South Korea,USA,Sea,44.6,51462,True
South Korea,USA,Rail,11.6,40133,True
South Korea,USA,Road,9.4,33050,True
Mexico,Japan,Air,1.9,2565,True
Mexico,Japan,Sea,12.6,12545,True
Mexico,Japan,Rail,10.1,40682,True
Mexico,Japan,Road,4.1,6983,True
Vietnam,USA,Air,3.3,3845,True
Vietnam,USA,Sea,0.9,53824,True
Vietnam,USA,Rail,2.3,34867,True
Vietnam,USA,Road,3.5,17248,True
South Korea,UAE,Air,3.3,12438,True
South Korea,UAE,Sea,28.5,53728,True
South Korea,UAE,Rail,11.6,37391,True
South Korea,UAE,Road,8.2,29808,True
Germany,UAE,Air,3.0,13470,True
Germany,UAE,Sea,27.2,49998,True
Germany,UAE,Rail,10.0,44954,True
Germany,UAE,Road,0.5,23860,True
China,Netherlands,Air,2.3,9437,True
China,Netherlands,Sea,29.3,35616,True
China,Netherlands,Rail,15.0,31410,True
China,Netherlands,Road,10.7,58857,True
Germany,UK,Air,1.1,13575,True
Germany,UK,Sea,16.4,32178,True
Germany,UK,Rail,7.1,37108,True
Germany,UK,Road,8.3,38328,True
South Korea,Japan,Air,3.6,10041,True
South Korea,Japan,Sea,14.6,52099,True
South Korea,Japan,Rail,8.2,7110,True
South Korea,Japan,Road,11.6,39472,True
Brazil,UK,Air,0.5,7274,True
Brazil,UK,Sea,18.7,51231,True
Brazil,UK,Rail,3.8,51207,True
Brazil,UK,Road,5.9,26646,True
Bangladesh,Japan,Air,1.8,2918,True
Bangladesh,Japan,Sea,24.4,12112,True
Bangladesh,Japan,Rail,7.4,22606,True
Bangladesh,Japan,Road,5.8,6901,True
South Korea,UK,Air,2.7,2940,True
South Korea,UK,Sea,22.9,36787,True
South Korea,UK,Rail,6.5,46844,True
South Korea,UK,Road,8.2,51974,True
India,Germany,Air,4.3,9961,True
India,Germany,Sea,15.1,58735,True
India,Germany,Rail,3.2,17050,True
India,Germany,Road,10.2,48588,True
USA,UAE,Air,4.7,3749,True
USA,UAE,Sea,14.3,24916,True
USA,UAE,Rail,8.1,57784,True
USA,UAE,Road,0.8,10217,True
Vietnam,Japan,Air,0.5,3137,True
Vietnam,Japan,Sea,0.9,33922,True
Vietnam,Japan,Rail,6.5,15256,True
Vietnam,Japan,Road,7.6,5925,True
Japan,Japan,Air,2.5,9796,True
Japan,Japan,Sea,26.5,55048,True
Japan,Japan,Rail,5.7,21089,False
Japan,Japan,Road,7.5,53684,True
Vietnam,Germany,Air,5.0,14585,True
Vietnam,Germany,Sea,29.9,7418,True
Vietnam,Germany,Rail,5.8,57789,True
Vietnam,Germany,Road,5.6,42283,True
Brazil,Australia,Air,2.5,2312,True
Brazil,Australia,Sea,30.4,50763,True
Brazil,Australia,Rail,12.1,19735,True
Brazil,Australia,Road,8.3,26555,True
Japan,Netherlands,Air,3.0,13611,True
Japan,Netherlands,Sea,6.1,30557,True
Japan,Netherlands,Rail,7.8,34055,True
Japan,Netherlands,Road,8.3,26184,True
Brazil,Canada,Air,1.9,4624,True
Brazil,Canada,Sea,8.5,24520,True
Brazil,Canada,Rail,8.1,8734,True
Brazil,Canada,Road,11.6,26127,True
Japan,UAE,Air,3.5,9505,True
Japan,UAE,Sea,18.3,41044,True
Japan,UAE,Rail,13.0,40246,True
Japan,UAE,Road,5.9,44558,True
Germany,India,Air,1.2,6545,True
Germany,India,Sea,41.0,25614,True
Germany,India,Rail,10.0,41415,True
Germany,India,Road,5.9,36999,True
Bangladesh,Germany,Air,3.4,8603,True
Bangladesh,Germany,Sea,13.6,47498,True
Bangladesh,Germany,Rail,5.7,57359,True
Bangladesh,Germany,Road,5.2,13695,True
Vietnam,Canada,Air,2.1,5841,True
Vietnam,Canada,Sea,19.3,32118,True
Vietnam,Canada,Rail,7.6,20097,True
Vietnam,Canada,Road,6.9,47505,True
India,Canada,Air,3.7,10851,True
India,Canada,Sea,23.7,28340,True
India,Canada,Rail,7.4,39806,True
India,Canada,Road,3.0,20718,True
Japan,Germany,Air,1.9,11451,True
Japan,Germany,Sea,11.3,32599,True
Japan,Germany,Rail,8.8,37207,True
Japan,Germany,Road,1.1,15455,True
South Korea,Canada,Air,3.8,6780,True
South Korea,Canada,Sea,10.8,41203,True
South Korea,Canada,Rail,3.8,30467,True
South Korea,Canada,Road,10.6,6837,True
China,Australia,Air,2.2,11560,True
China,Australia,Sea,28.6,5823,True
China,Australia,Rail,0.8,9979,True
China,Australia,Road,14.0,45958,True
Brazil,India,Air,0.5,3574,True
Brazil,India,Sea,11.9,19160,True
Brazil,India,Rail,7.3,55341,True
Brazil,India,Road,8.9,13927,True
South Korea,Australia,Air,2.5,6526,True
South Korea,Australia,Sea,17.0,59085,True
South Korea,Australia,Rail,10.6,33031,True
South Korea,Australia,Road,1.1,59482,True
Bangladesh,UAE,Air,5.4,5323,True
Bangladesh,UAE,Sea,17.3,38066,True
Bangladesh,UAE,Rail,6.7,36969,True
Bangladesh,UAE,Road,11.9,16100,True
Mexico,Australia,Air,3.5,12844,True
Mexico,Australia,Sea,5.7,25401,True
Mexico,Australia,Rail,6.7,23135,True
Mexico,Australia,Road,0.9,12673,True
Germany,USA,Air,3.8,4336,True
Germany,USA,Sea,32.5,23044,True
Germany,USA,Rail,16.0,23271,True
Germany,USA,Road,7.7,16958,True
India,UK,Air,1.0,3136,True
India,UK,Sea,14.0,22861,True
India,UK,Rail,3.8,20602,True
India,UK,Road,4.8,33468,True
Bangladesh,UK,Air,2.3,10743,True
Bangladesh,UK,Sea,11.3,35991,True
Bangladesh,UK,Rail,15.7,22570,True
Bangladesh,UK,Road,11.4,29084,True
China,Germany,Air,1.3,7453,True
China,Germany,Sea,14.0,32503,True
China,Germany,Rail,7.0,44829,True
China,Germany,Road,11.0,42282,True
South Korea,France,Air,4.3,13404,True
South Korea,France,Sea,20.3,40869,True
South Korea,France,Rail,5.1,45037,True
South Korea,France,Road,2.7,56552,True
Japan,USA,Air,2.1,11148,True
Japan,USA,Sea,0.9,19537,True
Japan,USA,Rail,8.2,20245,True
Japan,USA,Road,9.8,39228,True
USA,France,Air,1.9,11850,True
USA,France,Sea,22.9,16550,True
USA,France,Rail,0.5,50797,True
USA,France,Road,5.6,55945,True
Brazil,Japan,Air,5.2,8771,True
Brazil,Japan,Sea,27.1,57111,True
Brazil,Japan,Rail,8.0,44428,True
Brazil,Japan,Road,2.0,43268,True
USA,Japan,Air,3.5,10418,True
USA,Japan,Sea,35.2,49940,True
USA,Japan,Rail,12.6,49443,True
USA,Japan,Road,3.1,59303,True
USA,USA,Air,0.9,5074,True
USA,USA,Sea,11.4,38153,True
USA,USA,Rail,10.6,7551,True
USA,USA,Road,5.3,40941,True
Vietnam,Australia,Air,3.6,9886,True
Vietnam,Australia,Sea,15.2,46314,True
Vietnam,Australia,Rail,11.3,30501,True
Vietnam,Australia,Road,3.8,32979,True
India,Australia,Air,3.5,6429,True
India,Australia,Sea,23.1,19328,True
India,Australia,Rail,6.5,7703,True
India,Australia,Road,11.8,58611,True
Japan,India,Air,4.8,14450,True
Japan,India,Sea,15.0,36564,True
Japan,India,Rail,7.1,7528,True
Japan,India,Road,5.2,43871,True
India,Japan,Air,1.8,10398,True
India,Japan,Sea,18.2,8731,True
India,Japan,Rail,15.8,56638,True
India,Japan,Road,7.9,32174,True
China,USA,Air,5.5,14492,True
China,USA,Sea,16.1,26044,True
China,USA,Rail,3.5,55679,True
China,USA,Road,3.9,44286,True
Vietnam,UK,Air,2.6,14784,True
Vietnam,UK,Sea,33.1,37746,True
Vietnam,UK,Rail,13.3,53635,True
Vietnam,UK,Road,2.7,39757,True
South Korea,Netherlands,Air,4.8,5451,True
South Korea,Netherlands,Sea,8.3,20851,True
South Korea,Netherlands,Rail,1.0,18345,True
South Korea,Netherlands,Road,1.7,55001,True
Brazil,France,Air,1.9,12142,True
Brazil,France,Sea,15.1,36701,True
Brazil,France,Rail,9.9,56247,True
Brazil,France,Road,6.5,36066,True
Mexico,Netherlands,Air,5.3,12530,True
Mexico,Netherlands,Sea,22.2,36204,True
Mexico,Netherlands,Rail,1.8,43712,True
Mexico,Netherlands,Road,4.8,18681,True
Bangladesh,France,Air,4.1,12690,True
Bangladesh,France,Sea,24.3,6492,True
Bangladesh,France,Rail,11.2,46644,True
Bangladesh,France,Road,9.7,48231,True
Japan,France,Air,1.7,2559,True
Japan,France,Sea,15.0,58106,True
Japan,France,Rail,9.9,59782,True
Japan,France,Road,6.5,22427,True
India,Netherlands,Air,1.2,12422,True
India,Netherlands,Sea,19.0,7999,True
India,Netherlands,Rail,6.1,56265,True
India,Netherlands,Road,6.7,12036,True
China,France,Air,1.9,5263,True
China,France,Sea,9.2,33524,True
China,France,Rail,18.3,52700,True
China,France,Road,7.2,45421,True
Brazil,UAE,Air,4.3,8736,True
Brazil,UAE,Sea,0.9,45812,True
Brazil,UAE,Rail,6.7,33355,True
Brazil,UAE,Road,5.6,37926,True
Germany,Canada,Air,3.0,11735,True
Germany,Canada,Sea,8.0,29995,True
Germany,Canada,Rail,10.1,18945,True
Germany,Canada,Road,7.4,5070,True
USA,Canada,Air,2.0,13936,True
USA,Canada,Sea,17.6,58709,True
USA,Canada,Rail,15.9,46179,True
USA,Canada,Road,8.6,18386,True
China,Japan,Air,2.6,8839,True
China,Japan,Sea,24.5,6500,True
China,Japan,Rail,7.1,33093,True
China,Japan,Road,0.5,59269,True
Japan,Canada,Air,4.4,14040,True
Japan,Canada,Sea,36.2,31548,True
Japan,Canada,Rail,8.3,41583,True
Japan,Canada,Road,5.0,38666,True
Germany,Netherlands,Air,2.7,9832,True
Germany,Netherlands,Sea,33.9,17591,True
Germany,Netherlands,Rail,17.8,34248,True
Germany,Netherlands,Road,6.3,14135,True
USA,Australia,Air,1.0,12481,True
USA,Australia,Sea,19.3,45619,True
USA,Australia,Rail,7.2,11230,True
USA,Australia,Road,4.5,41309,True
Germany,Germany,Air,2.9,3286,True
Germany,Germany,Sea,28.7,57907,True
Germany,Germany,Rail,13.3,27913,True
Germany,Germany,Road,5.9,33050,True
Mexico,UAE,Air,1.1,6305,True
Mexico,UAE,Sea,10.5,17167,True
Mexico,UAE,Rail,6.4,7187,True
Mexico,UAE,Road,6.7,11878,True
Vietnam,UAE,Air,0.5,13577,True
Vietnam,UAE,Sea,26.0,12719,True
Vietnam,UAE,Rail,6.8,29275,True
Vietnam,UAE,Road,6.8,14379,True
India,India,Air,2.5,3866,True
India,India,Sea,18.3,8400,True
India,India,Rail,4.0,33719,True
India,India,Road,1.9,57106,True
