Order_ID,Shipment_ID,Customer_Type,Priority,SLA_Max_Delay_Days,Order_Value_USD,Late_Penalty_Pct_Per_Day,Units
ORD-103189,SHP-103189,Government,Critical,3,86307.68,0.03,51
ORD-114480,SHP-114480,Retail,Medium,8,27840.51,0.012,175
ORD-119826,SHP-119826,Wholesale,Medium,8,24805.64,0.012,105
ORD-109623,SHP-109623,Government,Low,14,10041.22,0.006,546
ORD-101006,SHP-101006,Government,Medium,8,1826.78,0.012,164
ORD-102325,SHP-102325,Enterprise,Medium,8,8362.74,0.012,1853
ORD-110645,SHP-110645,Retail,Low,14,8297.4,0.006,124
ORD-119523,SHP-119523,Wholesale,Critical,3,14124.43,0.03,151
ORD-117725,SHP-117725,Retail,Critical,3,4190.45,0.03,92
ORD-105743,SHP-105743,Government,Medium,8,15698.28,0.012,132
ORD-112680,SHP-112680,Government,Medium,8,3962.12,0.012,371
ORD-114583,SHP-114583,Government,Medium,8,12647.59,0.012,93
ORD-119257,SHP-119257,Wholesale,Low,14,15870.45,0.006,2218
ORD-111881,SHP-111881,Retail,High,5,7589.92,0.02,68
ORD-101027,SHP-101027,Wholesale,High,5,1808.07,0.02,181
ORD-104069,SHP-104069,Retail,Medium,8,41364.48,0.012,790
ORD-118572,SHP-118572,Wholesale,High,5,2328.6,0.02,1759
ORD-114652,SHP-114652,Government,High,5,10291.62,0.02,105
ORD-106650,SHP-106650,Enterprise,High,5,22136.37,0.02,393
ORD-115783,SHP-115783,Government,High,5,8971.09,0.02,224
ORD-117648,SHP-117648,Government,Medium,8,6491.34,0.012,117
ORD-104622,SHP-104622,Retail,Medium,8,48586.72,0.012,245
ORD-110385,SHP-110385,Wholesale,Medium,8,4128.89,0.012,68
ORD-113670,SHP-113670,Retail,Medium,8,15805.9,0.012,537
ORD-114046,SHP-114046,Enterprise,Medium,8,11298.37,0.012,204
ORD-101962,SHP-101962,Retail,Low,14,4184.32,0.006,877
ORD-119874,SHP-119874,Retail,Medium,8,12792.63,0.012,709
ORD-101599,SHP-101599,Retail,Medium,8,32932.9,0.012,125
ORD-109675,SHP-109675,Government,Medium,8,83704.15,0.012,188
ORD-110952,SHP-110952,Retail,High,5,9996.99,0.02,156
ORD-104333,SHP-104333,Wholesale,Low,14,2946.77,0.006,260
ORD-112099,SHP-112099,Retail,Critical,3,11520.24,0.03,69
ORD-106955,SHP-106955,Wholesale,Low,14,8242.51,0.006,175
ORD-118821,SHP-118821,Retail,Low,14,4209.83,0.006,423
ORD-108545,SHP-108545,Enterprise,Low,14,11899.75,0.006,685
ORD-115974,SHP-115974,Government,Low,14,5730.77,0.006,2294
ORD-113722,SHP-113722,Enterprise,Low,14,5868.86,0.006,714
ORD-100695,SHP-100695,Government,Medium,8,5069.77,0.012,127
ORD-115630,SHP-115630,Retail,Low,14,9278.91,0.006,111
ORD-113589,SHP-113589,Retail,Medium,8,11907.14,0.012,177
ORD-114521,SHP-114521,Government,High,5,19218.88,0.02,2110
ORD-119917,SHP-119917,Retail,High,5,14684.74,0.02,739
ORD-109770,SHP-109770,Retail,Low,14,6615.8,0.006,43
ORD-113377,SHP-113377,Retail,High,5,4114.26,0.02,316
ORD-101034,SHP-101034,Government,High,5,29791.94,0.02,54
ORD-110842,SHP-110842,Wholesale,High,5,23219.47,0.02,330
ORD-116592,SHP-116592,Government,Medium,8,54340.99,0.012,1070
ORD-110421,SHP-110421,Government,High,5,15298.98,0.02,214
ORD-110979,SHP-110979,Wholesale,Critical,3,33508.59,0.03,207
ORD-102127,SHP-102127,Retail,Medium,8,11739.01,0.012,147
ORD-112187,SHP-112187,Government,Medium,8,3083.26,0.012,1004
ORD-105970,SHP-105970,Wholesale,Medium,8,16945.86,0.012,332
ORD-113225,SHP-113225,Government,High,5,5781.59,0.02,204
ORD-100993,SHP-100993,Wholesale,Medium,8,21367.11,0.012,118
ORD-115084,SHP-115084,Enterprise,High,5,4425.77,0.02,402
ORD-114845,SHP-114845,Wholesale,Medium,8,2374.84,0.012,148
ORD-114945,SHP-114945,Enterprise,Critical,3,21936.7,0.03,210
ORD-100447,SHP-100447,Retail,Medium,8,23211.78,0.012,176
ORD-117277,SHP-117277,Retail,High,5,8534.11,0.02,253
ORD-105453,SHP-105453,Government,High,5,6418.59,0.02,30
ORD-103211,SHP-103211,Enterprise,Medium,8,36859.39,0.012,420
ORD-105561,SHP-105561,Wholesale,Low,14,10804.85,0.006,97
ORD-118911,SHP-118911,Enterprise,Medium,8,4661.2,0.012,139
ORD-103210,SHP-103210,Government,Critical,3,8388.26,0.03,77
ORD-113813,SHP-113813,Wholesale,Low,14,5636.32,0.006,44
ORD-108966,SHP-108966,Wholesale,Medium,8,40907.81,0.012,526
ORD-117653,SHP-117653,Government,High,5,2415.49,0.02,305
ORD-110649,SHP-110649,Enterprise,Low,14,10515.14,0.006,56
ORD-119714,SHP-119714,Government,Medium,8,48332.22,0.012,102
ORD-103971,SHP-103971,Retail,High,5,7813.13,0.02,481
ORD-110807,SHP-110807,Retail,High,5,17991.73,0.02,442
ORD-119544,SHP-119544,Government,Low,14,5146.21,0.006,395
ORD-111366,SHP-111366,Retail,Low,14,4825.03,0.006,141
ORD-103778,SHP-103778,Retail,Medium,8,6144.03,0.012,420
ORD-113079,SHP-113079,Enterprise,Medium,8,5415.61,0.012,552
ORD-106352,SHP-106352,Government,Medium,8,19637.43,0.012,1222
ORD-104007,SHP-104007,Enterprise,Medium,8,8926.7,0.012,62
ORD-103776,SHP-103776,Enterprise,Critical,3,10579.31,0.03,968
ORD-117147,SHP-117147,Wholesale,Medium,8,68525.07,0.012,89
ORD-114104,SHP-114104,Wholesale,Medium,8,5024.98,0.012,102
ORD-119145,SHP-119145,Government,Medium,8,5630.78,0.012,925
ORD-119183,SHP-119183,Wholesale,Critical,3,15623.5,0.03,68
ORD-108426,SHP-108426,Government,Medium,8,49196.08,0.012,108
ORD-104337,SHP-104337,Wholesale,High,5,10490.29,0.02,275
ORD-108117,SHP-108117,Government,Low,14,8590.44,0.006,213
ORD-107763,SHP-107763,Wholesale,Medium,8,13554.39,0.012,276
ORD-114012,SHP-114012,Retail,High,5,50628.29,0.02,346
ORD-113651,SHP-113651,Retail,Low,14,5654.14,0.006,1033
ORD-100438,SHP-100438,Retail,Critical,3,17314.74,0.03,108
ORD-116533,SHP-116533,Enterprise,Critical,3,23460.85,0.03,18
ORD-103269,SHP-103269,Wholesale,Low,14,13792.79,0.006,88
ORD-103752,SHP-103752,Government,Critical,3,23169.21,0.03,212
ORD-109113,SHP-109113,Government,Critical,3,11636.91,0.03,81
ORD-109440,SHP-109440,Retail,Low,14,2844.43,0.006,17
ORD-101739,SHP-101739,Wholesale,Low,14,6806.79,0.006,471
ORD-100606,SHP-100606,Government,High,5,14350.62,0.02,391
ORD-117085,SHP-117085,Wholesale,Low,14,14586.0,0.006,3428
ORD-112998,SHP-112998,Enterprise,High,5,7317.04,0.02,271
ORD-116972,SHP-116972,Government,Low,14,1390.02,0.006,180
ORD-118366,SHP-118366,Government,Medium,8,25687.55,0.012,178
ORD-115683,SHP-115683,Enterprise,Medium,8,25072.09,0.012,691
ORD-111037,SHP-111037,Government,Low,14,12840.39,0.006,160
ORD-105746,SHP-105746,Wholesale,Critical,3,12966.33,0.03,409
ORD-111584,SHP-111584,Wholesale,High,5,7854.94,0.02,82
ORD-106270,SHP-106270,Retail,Low,14,4773.72,0.006,407
ORD-108851,SHP-108851,Government,Critical,3,4751.34,0.03,298
ORD-118408,SHP-118408,Wholesale,High,5,2886.29,0.02,273
ORD-106600,SHP-106600,Enterprise,Critical,3,2392.51,0.03,388
ORD-111378,SHP-111378,Enterprise,High,5,9243.74,0.02,84
ORD-117189,SHP-117189,Wholesale,Low,14,24271.2,0.006,1930
ORD-111605,SHP-111605,Wholesale,Low,14,20634.23,0.006,104
ORD-106909,SHP-106909,Retail,Low,14,25263.38,0.006,193
ORD-100738,SHP-100738,Government,Critical,3,5732.15,0.03,261
ORD-101994,SHP-101994,Enterprise,Low,14,14448.04,0.006,655
ORD-100119,SHP-100119,Enterprise,High,5,22923.49,0.02,837
ORD-114926,SHP-114926,Wholesale,High,5,6142.88,0.02,1489
ORD-117609,SHP-117609,Enterprise,Medium,8,44326.48,0.012,3128
ORD-117436,SHP-117436,Retail,Medium,8,35975.49,0.012,365
ORD-118553,SHP-118553,Enterprise,Critical,3,13163.56,0.03,99
ORD-107293,SHP-107293,Retail,High,5,3144.22,0.02,26
ORD-103405,SHP-103405,Government,Medium,8,4360.32,0.012,47
ORD-110537,SHP-110537,Wholesale,Medium,8,12069.39,0.012,54
ORD-118466,SHP-118466,Wholesale,Medium,8,958.75,0.012,298
ORD-108626,SHP-108626,Government,Medium,8,15344.18,0.012,272
ORD-103481,SHP-103481,Government,Critical,3,7965.91,0.03,140
ORD-117818,SHP-117818,Government,Low,14,1770.99,0.006,304
ORD-100127,SHP-100127,Enterprise,High,5,15369.02,0.02,523
ORD-113426,SHP-113426,Enterprise,Medium,8,5397.98,0.012,62
ORD-110610,SHP-110610,Government,Low,14,2095.88,0.006,284
ORD-115273,SHP-115273,Wholesale,High,5,21738.07,0.02,957
ORD-119580,SHP-119580,Wholesale,Medium,8,57244.82,0.012,1430
ORD-119285,SHP-119285,Retail,Low,14,18069.05,0.006,98
ORD-112822,SHP-112822,Government,Medium,8,7069.07,0.012,1355
ORD-103073,SHP-103073,Retail,Medium,8,2137.46,0.012,48
ORD-102380,SHP-102380,Government,Medium,8,13688.33,0.012,71
ORD-102483,SHP-102483,Government,Medium,8,7659.61,0.012,739
ORD-103461,SHP-103461,Enterprise,High,5,26710.91,0.02,259
ORD-115231,SHP-115231,Retail,Medium,8,25838.3,0.012,279
ORD-107458,SHP-107458,Wholesale,High,5,11877.33,0.02,13
ORD-115884,SHP-115884,Wholesale,High,5,17718.58,0.02,84
ORD-106885,SHP-106885,Wholesale,High,5,16811.32,0.02,2788
ORD-115097,SHP-115097,Government,Medium,8,15271.96,0.012,148
ORD-118684,SHP-118684,Enterprise,Low,14,3348.62,0.006,247
ORD-114970,SHP-114970,Enterprise,Medium,8,9086.27,0.012,554
ORD-100803,SHP-100803,Wholesale,Low,14,2375.92,0.006,5074
ORD-100474,SHP-100474,Wholesale,Medium,8,3159.69,0.012,112
ORD-108608,SHP-108608,Enterprise,Medium,8,1371.17,0.012,57
ORD-106482,SHP-106482,Government,Medium,8,10709.5,0.012,146
ORD-118287,SHP-118287,Wholesale,Low,14,9580.14,0.006,3258
ORD-105557,SHP-105557,Enterprise,High,5,24624.94,0.02,344
ORD-113948,SHP-113948,Wholesale,High,5,6538.13,0.02,3740
ORD-108891,SHP-108891,Government,Critical,3,23066.64,0.03,852
ORD-112521,SHP-112521,Retail,Medium,8,3430.56,0.012,128
ORD-104448,SHP-104448,Wholesale,Low,14,13456.93,0.006,98
ORD-100484,SHP-100484,Government,High,5,7950.28,0.02,340
ORD-110422,SHP-110422,Government,Low,14,33054.25,0.006,209
ORD-119411,SHP-119411,Retail,Low,14,3462.12,0.006,2044
